% Filename : LM_Channel_1000_RSTE_uv_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_1000_RSTE_uv_prof.dat
% 
% Total number of data points  : 256
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 2304 
%  Grid (wall-normal)      ny = 512 
%  Grid (spanwise)         nz = 2048 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 5.00000e-05 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 5.00256e-02 
%  Re_tau              Re_tau = 1000.512 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=u, u_j=v)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.543128870785073e-15    1.298890920269056e-12    4.815442670297370e-04    4.815442670356466e-04    4.064605278018438e-22    6.810064333206440e-04
    2.764315143122253e-06    2.765729439839074e-03    1.335107048351150e-17    9.244799768450301e-16    2.661319159657198e-08    4.815348322225925e-04    4.815338076149552e-04    1.774451022448371e-08    6.809923667288252e-04
    1.382146873540879e-05    1.382854016425900e-02    8.311511082672639e-15    3.746417788397654e-14    1.332566649635042e-07    4.814971735224483e-04    4.814920387477883e-04    8.889825326842929e-08    6.809362210573370e-04
    3.869966314673512e-05    3.871946291763557e-02    5.063653301175972e-13    2.266454238589613e-12    3.743128364500416e-07    4.814087134879568e-04    4.813942747353259e-04    2.500127707673122e-07    6.808046708025475e-04
    8.292656586705860e-05    8.296899329076779e-02    1.051029842051880e-11    4.679243642113031e-11    8.065543708438462e-07    4.812298603023433e-04    4.811987843927481e-04    5.398407412469920e-07    6.805405134932473e-04
    1.520290955829839e-04    1.521068776879944e-01    1.158662414617147e-10    5.115268550918197e-10    1.490912333704291e-06    4.808602624821279e-04    4.808033612370903e-04    1.001010569397308e-06    6.800012419498120e-04
    2.515332082846378e-04    2.516618993246350e-01    8.383751773202915e-10    3.657228488176260e-09    2.493611585860296e-06    4.800706944491098e-04    4.799782611491864e-04    1.681386321621827e-06    6.788637919475667e-04
    3.869636834078483e-04    3.871616642597545e-01    4.478826054788515e-09    1.922366577672049e-08    3.884270325626335e-06    4.784926188524803e-04    4.783582145494793e-04    2.633637959340287e-06    6.766119949555605e-04
    5.610795948808311e-04    5.613666580367414e-01    1.863379493089596e-08    7.831469931266911e-08    5.697258446721014e-06    4.757448130333705e-04    4.755743175655670e-04    3.890138432204145e-06    6.727195976536973e-04
    7.738742043458258e-04    7.742701388503129e-01    6.266323861711688e-08    2.564787808547768e-07    7.908601912524420e-06    4.715644838961974e-04    4.713900263071846e-04    5.448819505947649e-06    6.668387546479590e-04
    1.025339276563786e-03    1.025863867248057e+00    1.771977436656876e-07    7.016093750885711e-07    1.043469350606426e-05    4.658021160264774e-04    4.656992214198335e-04    7.275525005234779e-06    6.587941377040372e-04
    1.315465079733014e-03    1.316138106449228e+00    4.351146831837707e-07    1.652669067149688e-06    1.310310876320234e-05    4.583646373113644e-04    4.584690091100330e-04    9.286999763354264e-06    6.485004498962294e-04
    1.644240385865192e-03    1.645081622720975e+00    9.509982752420681e-07    3.428957416410294e-06    1.563940186129434e-05    4.490705769595554e-04    4.495830457358886e-04    1.134020098270308e-05    6.357477104162753e-04
