% Filename : LM_Channel_1000_RSTE_ww_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_1000_RSTE_ww_prof.dat
% 
% Total number of data points  : 256
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 2304 
%  Grid (wall-normal)      ny = 512 
%  Grid (spanwise)         nz = 2048 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 5.00000e-05 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 5.00256e-02 
%  Re_tau              Re_tau = 1000.512 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=w, u_j=w)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Production should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% *** Analytic values of Pressure_Transport are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    4.728379819895129e-15    1.775048916045893e-04    2.918615760067545e-21    0.000000000000000e+00    1.775050068201044e-04    2.510299065644616e-04
    2.764315143122253e-06    2.765729439839074e-03    5.478172319386003e-18    2.207696731234146e-14    1.771043652562012e-04    1.367581100013899e-07    0.000000000000000e+00    1.772379120162363e-04    2.505578822377331e-04
    1.382146873540879e-05    1.382854016425900e-02    6.847623877538235e-16    2.742077604258501e-12    1.755105369429829e-04    6.811885702013313e-07    0.000000000000000e+00    1.761750436220642e-04    2.486806357381261e-04
    3.869966314673512e-05    3.871946291763557e-02    1.503205203387311e-14    5.946460878561281e-11    1.719733324323315e-04    1.891072928911452e-06    0.000000000000000e+00    1.738149515312053e-04    2.445200208582161e-04
    8.292656586705860e-05    8.296899329076779e-02    1.479216368717471e-13    5.730656227983436e-10    1.658448159301076e-04    3.991312893077190e-06    0.000000000000000e+00    1.697218606235031e-04    2.373308735148757e-04
    1.520290955829839e-04    1.521068776879944e-01    9.116573251479192e-13    3.423903704575342e-09    1.566560561369148e-04    7.146984473754061e-06    0.000000000000000e+00    1.635737314680005e-04    2.266022174417738e-04
    2.515332082846378e-04    2.516618993246350e-01    5.287411837744602e-12    1.487668823001210e-08    1.442031544999087e-04    1.143370581087312e-05    0.000000000000000e+00    1.552116148791092e-04    2.121695666465644e-04
    3.869636834078483e-04    3.871616642597545e-01    1.947952988706937e-11    5.138466453880541e-08    1.286191112992426e-04    1.681233524903486e-05    0.000000000000000e+00    1.446772826496807e-04    1.943117319237638e-04
    5.610795948808311e-04    5.613666580367414e-01    6.015221478190794e-11    1.468521133895648e-07    1.106730764127087e-04    2.302420128662821e-05    0.000000000000000e+00    1.324088613540870e-04    1.740998903450921e-04
    7.738742043458258e-04    7.742701388503129e-01    1.598698327681075e-10    3.565708490131273e-07    1.119692192757603e-04    2.966586113516632e-05    0.000000000000000e+00    1.191114500481781e-04    1.661470254247418e-04
    1.025339276563786e-03    1.025863867248057e+00    3.760373160234975e-10    7.561144639878861e-07    8.956496140244344e-05    3.635967472101901e-05    0.000000000000000e+00    1.054688655233773e-04    1.430669827767811e-04
    1.315465079733014e-03    1.316138106449228e+00    8.000429295353572e-10    1.432832096330231e-06    8.888430684432947e-05    4.279344551007431e-05    0.000000000000000e+00    1.119889559327273e-04    1.492490477061053e-04
    1.644240385865192e-03    1.645081622720975e+00    1.866959040834246e-09    2.472933852076130e-06    6.982452668745099e-05    4.874515806147919e-05    0.000000000000000e+00    9.718283642414055e-05    1.292368912591474e-04
    2.011652471220593e-03    2.012681685813766e+00    3.461888941139672e-09    3.946285256319340e-06    5.577892032008759e-05    5.408874242863481e-05    0.000000000000000e+00    8.372755477937715e-05    1.142924171510446e-04
