% Filename : LM_Channel_0180_RSTE_k_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_0180_RSTE_k_prof.dat
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (Half of sum of i=j=1, i=j=2 and i=j=3)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Pressure_Strain are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    9.501752936875253e-14    8.379732506589856e-04    0.000000000000000e+00    2.787695056503742e-15    8.379724473394187e-04    1.185072567955230e-03
    5.791461380333374e-05    1.054557883895367e-02    7.260142350420610e-12    2.046637476121596e-11    8.360133947808612e-04    0.000000000000000e+00    1.256352371532119e-06    8.366649341718231e-04    1.182764079397982e-03
    2.141030191135096e-04    3.898567424427084e-02    3.672067029056416e-10    1.034959107817528e-09    8.308784236402492e-04    0.000000000000000e+00    4.587874479968285e-06    8.332243775358786e-04    1.176723708389335e-03
    5.088966186284072e-04    9.266416643727822e-02    4.940959468784276e-09    1.391253245996141e-08    8.217313496131565e-04    0.000000000000000e+00    1.065484642971697e-05    8.270472661049024e-04    1.166000445038798e-03
    9.825876412230539e-04    1.789178025409327e-01    3.568256632610679e-08    1.003171896603357e-07    8.083438368612723e-04    0.000000000000000e+00    1.982006573640453e-05    8.179033862799056e-04    1.150414591364528e-03
    1.675417754204322e-03    3.050741230036028e-01    1.777256819014150e-07    4.983923860328158e-07    7.912130212347267e-04    0.000000000000000e+00    3.200377042580896e-05    8.060148549690478e-04    1.130698587643080e-03
    2.627566689856309e-03    4.784493906250172e-01    6.897170522568645e-07    1.926476027894630e-06    7.713433043125020e-04    0.000000000000000e+00    4.657950458557827e-05    7.920340468429207e-04    1.108276507412050e-03
    3.879140889489485e-03    7.063465227694476e-01    2.234454885615067e-06    6.187514844595289e-06    7.495224191720980e-04    0.000000000000000e+00    6.236947413936113e-05    7.767470493022506e-04    1.084423180885480e-03
    5.412247554401284e-03    9.855074485118559e-01    6.104108354226152e-06    1.662828924426595e-05    7.246769595880614e-04    0.000000000000000e+00    7.730666466688788e-05    7.610345875844266e-04    1.059015642300258e-03
    7.226453384460596e-03    1.315853268928577e+00    1.456343117369227e-05    3.852839308997371e-05    6.913051248701551e-04    0.000000000000000e+00    8.996069403789298e-05    7.442773250631103e-04    1.028077404230435e-03
    9.321245632810338e-03    1.697290618769450e+00    3.111102465703876e-05    7.845592385866788e-05    6.413604024978046e-04    0.000000000000000e+00    9.937053943395221e-05    7.241556686264508e-04    9.860560018869629e-04
    1.169603225078431e-02    2.129711692845490e+00    6.051600442870264e-05    1.420511392544490e-04    5.681150261810517e-04    0.000000000000000e+00    1.053124338990268e-04    6.977815378163231e-04    9.315953129397660e-04
    1.435014205523744e-02    2.612994276497792e+00    1.083863200602368e-04    2.304786428509577e-04    4.708424494459552e-04    0.000000000000000e+00    1.077072373996472e-04    6.630637916368239e-04    8.740963003495340e-04
    1.728282491824162e-02    3.147001780138933e+00    1.800865619021848e-04    3.372850102208389e-04    3.675032838023763e-04    0.000000000000000e+00    1.068816585309988e-04    6.201696827681006e-04    8.478867989902201e-04
