% Filename : LM_Channel_0180_RSTE_uu_prof.dat 
% 
% Description : Terms in Reynolds stress transport equation for u'u'
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=u, u_j=u)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Channel_0180_RSTE_uu_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** Analytic values of Pressure_Transport are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00   -7.571526832762809e-14    2.740897939799758e-01   -3.298019735482243e-20    0.000000000000000e+00    2.740897093601414e-01    8.461975870011074e-08
    5.791461380333374e-05    1.054557883895367e-02    1.776865045989998e-09    2.767289846541525e-09    2.739804871274164e-01    3.616074185731189e-05    0.000000000000000e+00    2.740169714546506e-01   -3.190412220521743e-07
    2.141030191135096e-04    3.898567424427084e-02    8.991326289386197e-08    1.398396121052570e-07    2.736984300900504e-01    1.308448808696886e-04    0.000000000000000e+00    2.738300981044429e-01   -5.933806477842474e-07
    5.088966186284072e-04    9.266416643727822e-02    1.210871046669172e-06    1.878543153393159e-06    2.732100675000183e-01    2.984224061216795e-04    0.000000000000000e+00    2.735117011315122e-01   -1.218111721490445e-07
    9.825876412230539e-04    1.789178025409327e-01    8.756263520567903e-06    1.353175645270475e-05    2.725240135308252e-01    5.379517621297154e-04    0.000000000000000e+00    2.730835989102003e-01    6.544027278954090e-07
    1.675417754204322e-03    3.050741230036028e-01    4.369389737133397e-05    6.714853135423440e-05    2.716807461991179e-01    8.248456299286027e-04    0.000000000000000e+00    2.726153187836831e-01    1.115474088986268e-06
    2.627566689856309e-03    4.784493906250172e-01    1.699897390094449e-04    2.591958719786948e-04    2.706833892155471e-01    1.103384176577354e-03    0.000000000000000e+00    2.722138948324924e-01    2.064170620263983e-06
    3.879140889489485e-03    7.063465227694476e-01    5.525441437877410e-04    8.328478475637685e-04    2.693135649662725e-01    1.282676568594775e-03    0.000000000000000e+00    2.719771143950798e-01    4.519131138969179e-06
    5.412247554401284e-03    9.855074485118559e-01    1.516130401318981e-03    2.245891798862621e-03    2.668984752512130e-01    1.245370224322640e-03    0.000000000000000e+00    2.718970249912530e-01    8.842684464271944e-06
    7.226453384460596e-03    1.315853268928577e+00    3.639191662072010e-03    5.247186623217984e-03    2.619763340122599e-01    8.878477256493218e-04    0.000000000000000e+00    2.717351444025590e-01    1.541562064022450e-05
    9.321245632810338e-03    1.697290618769450e+00    7.839600600056128e-03    1.084057184070615e-02    2.521951744599743e-01    1.262710659025017e-04    0.000000000000000e+00    2.709773889563135e-01    2.422901032561597e-05
    1.169603225078431e-02    2.129711692845490e+00    1.542439870469523e-02    2.003106707672937e-02    2.345387429809250e-01   -1.094837731845094e-03    0.000000000000000e+00    2.688650244224628e-01    3.434660804169098e-05
    1.435014205523744e-02    2.612994276497792e+00    2.804303746038844e-02    3.327755113992246e-02    2.060983526656912e-01   -2.798783553261570e-03    0.000000000000000e+00    2.645768620951655e-01    4.329561757504541e-05
    1.728282491824162e-02    3.147001780138933e+00    4.747910406000765e-02    4.977627005347734e-02    1.653339071607790e-01   -4.977316961917571e-03    0.000000000000000e+00    2.575650403352816e-01    4.692397706479445e-05
    2.049325197909280e-02    3.731583277857002e+00    7.524987391510986e-02    6.697267889809411e-02    1.133259578549265e-01   -7.594572177392061e-03    0.000000000000000e+00    2.479134077714956e-01    4.053071924275953e-05
    2.398051587857197e-02    4.366573550071815e+00    1.120683025442940e-01    8.078022970621976e-02    5.426106623949132e-02   -1.059298300222146e-02    0.000000000000000e+00    2.364949253970115e-01    2.169009077207518e-05
    2.774363101539001e-02    5.051793130230531e+00    1.573296670214382e-01    8.666770761179755e-02   -5.327479608550491e-03   -1.389985553959347e-02    0.000000000000000e+00    2.247764180189373e-01   -6.378533845524670e-06
    3.178153382474769e-02    5.787048355530207e+00    2.088465028920258e-01    8.122293381721539e-02   -5.833882943549193e-02   -1.743343841744223e-02    0.000000000000000e+00    2.143310280302332e-01   -3.385917392614846e-05
    3.609308307892944e-02    6.572131421652430e+00    2.630062346568284e-01    6.344608841546748e-02   -9.909035571372045e-02   -2.110777677063675e-02    0.000000000000000e+00    2.063025058252765e-01   -4.831523733783705e-05
