% Filename : LM_Channel_0180_RSTE_uu_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_0180_RSTE_uu_prof.dat
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=u, u_j=u)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Pressure_Transport are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    1.838955827547470e-13    1.459400030664318e-03    1.375902262259345e-21    0.000000000000000e+00    1.459399607533755e-03    2.063903017094720e-03
    5.791461380333374e-05    1.054557883895367e-02    1.452028468930449e-11    4.087711197215517e-11    1.458696769117433e-03    5.903426721669214e-07    0.000000000000000e+00    1.458930566578013e-03    2.063074165131674e-03
    2.141030191135096e-04    3.898567424427084e-02    7.344134052283089e-10    2.067123965708652e-09    1.456894015131912e-03    2.142716687085466e-06    0.000000000000000e+00    1.457723932016251e-03    2.060947312412356e-03
    5.088966186284072e-04    9.266416643727822e-02    9.881918929739905e-09    2.778796686454509e-08    1.453811847079796e-03    4.918802267431116e-06    0.000000000000000e+00    1.455657071724623e-03    2.057311496263277e-03
    9.825876412230539e-04    1.789178025409327e-01    7.136513259590574e-08    2.003723978434646e-07    1.449542954353565e-03    8.971792009417562e-06    0.000000000000000e+00    1.452823026437129e-03    2.052303598631533e-03
    1.675417754204322e-03    3.050741230036028e-01    3.554513635246464e-07    9.955258363444857e-07    1.444279730941111e-03    1.404250830907395e-05    0.000000000000000e+00    1.449515243325849e-03    2.046273855401152e-03
    2.627566689856309e-03    4.784493906250172e-01    1.379434103450809e-06    3.846456514400655e-06    1.437607940945777e-03    1.949089320406536e-05    0.000000000000000e+00    1.446024118108568e-03    2.039141715282700e-03
    3.879140889489485e-03    7.063465227694476e-01    4.468909767879515e-06    1.235514570386702e-05    1.426819440471632e-03    1.983751267949625e-05    0.000000000000000e+00    1.442094240185184e-03    2.028796604140555e-03
    5.412247554401284e-03    9.855074485118559e-01    1.220821669966997e-05    3.320718846476744e-05    1.405084111137974e-03    2.008068450286112e-05    0.000000000000000e+00    1.436216632114410e-03    2.009635431003661e-03
    7.226453384460596e-03    1.315853268928577e+00    2.912686232754210e-05    7.695378543341611e-05    1.359689822623200e-03    2.370256495227437e-05    0.000000000000000e+00    1.424775007216175e-03    1.971312330839498e-03
    9.321245632810338e-03    1.697290618769450e+00    6.222204927423869e-05    1.567256283969221e-04    1.273722067727562e-03    2.824163486005754e-05    0.000000000000000e+00    1.402244725567124e-03    1.902075254070894e-03
    1.169603225078431e-02    2.129711692845490e+00    1.210320087844052e-04    2.838012674793985e-04    1.133054506118131e-03    3.503830311180615e-05    0.000000000000000e+00    1.362583193703819e-03    1.799128973380441e-03
    1.435014205523744e-02    2.612994276497792e+00    2.167726399955081e-04    4.605090231753492e-04    9.396905099046468e-04    4.506513474522700e-05    0.000000000000000e+00    1.301912965804342e-03    1.684958583817553e-03
