% Filename : LM_Channel_0180_RSTE_uv_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_0180_RSTE_uv_prof.dat
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=u, u_j=v)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    1.110336078718726e-14    1.225922502069065e-11    6.125167467549032e-04    6.125167468326931e-04    1.238018770583490e-21    8.662294904964364e-04
    5.791461380333374e-05    1.054557883895367e-02    1.133244710840308e-14    4.930027630850604e-14    3.919147436880919e-07    6.124551188117414e-04    6.124097348626896e-04    2.613491158793737e-07    8.661103727665549e-04
    2.141030191135096e-04    3.898567424427084e-02    2.096997922819863e-12    8.881874814071285e-12    1.452418206324776e-06    6.122652550014763e-04    6.120983121056278e-04    9.692615390342243e-07    8.657575498666810e-04
    5.088966186284072e-04    9.266416643727822e-02    6.576217691061763e-11    2.773500133273913e-10    3.468422831181234e-06    6.117951249214765e-04    6.114021423651916e-04    2.317806856225600e-06    8.649411868746169e-04
    9.825876412230539e-04    1.789178025409327e-01    8.885875680309164e-10    3.720266243406635e-09    6.747238486912095e-06    6.106999841346838e-04    6.099535067063035e-04    4.518659220802390e-06    8.631707215194470e-04
    1.675417754204322e-03    3.050741230036028e-01    7.209151787887913e-09    2.985450391935594e-08    1.162562678825552e-05    6.083752526283463e-04    6.071343859613554e-04    7.810069783120559e-06    8.596096579022228e-04
    2.627566689856309e-03    4.784493906250172e-01    4.123324335221489e-08    1.680844760826730e-07    1.846166644304533e-05    6.040037304632110e-04    6.021277138032225e-04    1.245721923441856e-05    8.531555166174868e-04
    3.879140889489485e-03    7.063465227694476e-01    1.820399386366925e-07    7.255139985463453e-07    2.756848933798420e-05    5.967303139940444e-04    5.940924995207991e-04    1.872172197764800e-05    8.427004507021399e-04
    5.412247554401284e-03    9.855074485118559e-01    8.423936271372761e-07    2.436977762126334e-06    3.861349349126741e-05    5.863760044166722e-04    5.829035321208659e-04    2.647102648194566e-05    8.281374957849008e-04
    7.226453384460596e-03    1.315853268928577e+00    2.413915117295672e-06    6.674904975660656e-06    5.093072147797736e-05    5.732510727452855e-04    5.689159312856218e-04    3.541247192114018e-05    8.100496850037454e-04
    9.321245632810338e-03    1.697290618769450e+00    5.940430188325683e-06    1.541451137053000e-05    6.322353599934399e-05    5.580236278611934e-04    5.528842190819545e-04    4.489090769184190e-05    7.895293749636569e-04
    1.169603225078431e-02    2.129711692845490e+00    1.290432879973920e-05    3.072447138823138e-05    7.361012514862091e-05    5.412934371335914e-04    5.356114125812960e-04    5.387417346124850e-05    7.676650065657643e-04
    1.435014205523744e-02    2.612994276497792e+00    2.522889982688415e-05    5.379022163770912e-05    7.998506981271491e-05    5.233187102919096e-04    5.177261624092493e-04    6.109100984049828e-05    7.453606241217614e-04
    1.728282491824162e-02    3.147001780138933e+00    4.509457862020629e-05    8.390600175275723e-05    8.056570171761445e-05    5.042953846500082e-04    4.998647485066339e-04    6.532570502445038e-05    7.238857782552168e-04
    2.049325197909280e-02    3.731583277857002e+00    7.448790922082619e-05    1.014240767090620e-04    7.803890321669767e-05    4.852031522726545e-04    4.831903924466574e-04    6.572992737648949e-05    7.036624475219883e-04
    2.398051587857197e-02    4.366573550071815e+00    1.148502878431023e-04    1.319153780172191e-04    5.946562788221009e-05    4.686581323552747e-04    4.698032472377085e-04    6.195301707709149e-05    6.916083638427740e-04
    2.774363101539001e-02    5.051793130230531e+00    1.663384601644849e-04    1.573278466748558e-04    4.034728328068301e-05    4.587876095836804e-04    4.624345432544852e-04    5.430666617712988e-05    6.937790926736959e-04
    3.178153382474769e-02    5.787048355530207e+00    2.276376528494025e-04    2.375021027923212e-04    2.869640427845690e-05    4.593365434943488e-04    4.630684715741456e-04    4.618450963395830e-05    7.325333520936451e-04
    3.609308307892944e-02    6.572131421652430e+00    2.959991418983701e-04    2.516065856563338e-04    2.721007131674513e-05    4.709120301529959e-04    4.712000114906285e-04    4.222352914912310e-05    7.728079782951669e-04
    4.067706020984729e-02    7.406820441494814e+00    3.675434538814108e-04    2.503949277850622e-04    3.348575172971840e-05    4.902056759027283e-04    4.834914611900198e-04    4.415380885013676e-05    8.215365253519488e-04
    4.553216965344320e-02    8.290879507882680e+00    4.379935615009121e-04    2.354703408734041e-04    4.031504386865895e-05    5.122134773833134e-04    4.954182941612164e-04    4.633513845058872e-05    8.711250322240621e-04
    5.065703921585307e-02    9.224058760243272e+00    5.050085775320086e-04    1.945461945653886e-04    4.503105716766232e-05    5.329150966933422e-04    5.033633638884534e-04    5.164692370923268e-05    9.137561285309199e-04
    5.605022046122787e-02    1.020609445522346e+01    5.644587872723468e-04    1.888261244166862e-04    4.524268887911583e-05    6.752595709419167e-04    5.058029480515924e-04    5.649294814008895e-05    1.035045647439816e-03
    6.171018912110404e-02    1.123670904123138e+01    6.147258493541850e-04    1.900706165647280e-04    4.046979793207598e-05    9.003213297595971e-04    5.031618035617640e-04    5.974288689468235e-05    1.217773387625263e-03
    6.763534552520467e-02    1.231561123688027e+01    6.536151765945108e-04    1.977193000502305e-04    3.293957751380319e-05    9.425269442629293e-04    4.966323564023187e-04    6.068990986156224e-05    1.267310040874037e-03
    7.382401505355363e-02    1.344249611331326e+01    6.799017904096843e-04    2.079330736806724e-04    2.539562977049912e-05    9.205992689953613e-04    4.876465223092043e-04    5.921283811269015e-05    1.262915615049731e-03
    8.027444860977029e-02    1.461704518038482e+01    6.940124458240902e-04    2.169864315901289e-04    1.833923035359388e-05    7.402107746681741e-04    4.777630747082062e-04    5.584836011015639e-05    1.143836220636244e-03
    8.698482311541555e-02    1.583892647667542e+01    6.976350194530591e-04    2.234739438524123e-04    1.699146313398515e-05    7.181532678906685e-04    4.667290725211453e-04    5.163229983999313e-05    1.128348337825211e-03
    9.395324202524546e-02    1.710779466331326e+01    6.912543523219262e-04    2.284878815345897e-04    1.628745870732629e-05    6.906445044270780e-04    4.517204830539728e-04    4.769887583598439e-05    1.101644671382369e-03
    1.011777358632303e-01    1.842329112157711e+01    6.983600569816832e-04    2.335559156223740e-04    1.566315009331031e-05    6.608036764529333e-04    4.309071131425382e-04    4.848484192674192e-05    1.080367385683093e-03
    1.086562627791852e-01    1.978504405425227e+01    5.915094292886409e-04    2.384206640822163e-04    1.484038073427274e-05    6.278921762694384e-04    4.069480089104897e-04    4.687367967650199e-05    9.843782117266288e-04
    1.163867091258549e-01    2.119266859071105e+01    5.743026725588733e-04    2.420024771511379e-04    1.416670873828686e-05    5.931924428390807e-04    3.847686956861248e-04    4.563493850923331e-05    9.437140590910820e-04
    1.243668900562930e-01    2.264576689568853e+01    5.523862267283316e-04    2.112094115819517e-04    1.378240314752788e-05    5.592494017755008e-04    4.465982337674545e-04    4.442883341220982e-05    9.295771676871772e-04
    1.325945501413611e-01    2.414392828172205e+01    4.572253123186051e-04    2.194250186254739e-04    1.318286757773059e-05    5.285702580852748e-04    4.422936203908146e-04    4.304625752571045e-05    8.568776211799007e-04
    1.410673640071792e-01    2.568672932522346e+01    4.370059006205991e-04    3.098753940479836e-04    1.209300299321045e-05    5.048746382992384e-04    5.061346927757207e-04    4.134786265488504e-05    8.943844425693546e-04
    1.497829369923429e-01    2.727373398615082e+01    4.163090481329015e-04    3.326410935068008e-04    1.097042867936794e-05    4.876102807053975e-04    5.276065360074327e-04    3.931660635482857e-05    8.954115864644322e-04
    1.587388058247237e-01    2.890449373124580e+01    3.956782493039815e-04    3.452049025614945e-04    1.079953390154365e-05    4.706667186960267e-04    5.232220381122617e-04    3.711322048745412e-05    8.789255850449624e-04
    1.679324393176608e-01    3.057854766080223e+01    3.755826455329046e-04    3.384100982309634e-04    1.119294826145451e-05    4.502720863813902e-04    4.935276178758166e-04    3.009511097860293e-05    8.384087173844341e-04
    1.773612390853474e-01    3.229542263892949e+01    3.563086211146903e-04    3.135643464261349e-04    1.085406448149937e-05    4.291504448205197e-04    4.564379853475723e-04    2.947698711360311e-05    7.866199050832401e-04
    1.870225402772094e-01    3.405463342727447e+01    3.378259743056177e-04    2.859324919640195e-04    9.791056049101881e-06    4.056778084279300e-04    4.238060200448785e-04    2.862983299379860e-05    7.355170547779783e-04
    1.969136123310693e-01    3.585568282216393e+01    3.199055604811133e-04    2.014134947425709e-04    8.923196523776725e-06    3.729570130979761e-04    3.601124510852050e-04    2.759971257658589e-05    6.422820580611146e-04
    2.070316597448810e-01    3.769806179512845e+01    3.023722541627659e-04    1.991525016406901e-04    8.823635385117980e-06    2.981154870145823e-04    2.865926656103193e-04    2.652034968600294e-05    5.503454224990562e-04
    2.173738228668202e-01    3.958124963676869e+01    2.852395149154987e-04    1.957281403889653e-04    8.990609241938540e-06    2.774324394959768e-04    2.712044806211516e-04    2.538210805223360e-05    5.204966830506659e-04
    2.279371787035034e-01    4.150471410392278e+01    3.085423580059734e-04    1.899201122515275e-04    8.704187163002546e-06    2.537411862395431e-04    2.494656740246954e-04    2.421790080959294e-05    5.084761719354773e-04
    2.387187417461112e-01    4.346791157009366e+01    2.931316729149405e-04    1.822378053039200e-04    1.284104595791299e-05    2.313114707965804e-04    2.258990803417037e-04    2.305767455388374e-05    4.736757701068653e-04
    2.497154648141782e-01    4.547028717909350e+01    2.781639290894831e-04    1.743901359455643e-04    8.294328728640792e-06    2.136453066328249e-04    2.069462852642748e-04    2.209413230454531e-05    4.436385009936325e-04
    2.609242399168145e-01    4.751127500186213e+01    2.635386648811001e-04    1.687032207479071e-04    8.501180956720522e-06    2.010363526943637e-04    1.966302266180608e-04    2.111121559932103e-05    4.213198537979101e-04
    2.723418991311134e-01    4.959029819641487e+01    2.494130243704403e-04    1.655427161023536e-04    8.086600276420817e-06    1.923708026303824e-04    1.943401672368470e-04    2.014965996979080e-05    4.060262008631787e-04
    2.839652154974980e-01    5.170676917087474e+01    2.066692031548219e-04    1.951665809981871e-04    8.006017143902001e-06    1.869566536205564e-04    1.971730790903319e-04    1.921438865776850e-05    3.937835145916220e-04
    2.957909039317521e-01    5.386008974954277e+01    1.981042589937959e-04    1.624445622122299e-04    8.201857479454009e-06    1.814859576001303e-04    1.998311725850589e-04    1.853440682621190e-05    3.727116556657072e-04
    3.078156221534808e-01    5.604965134195976e+01    1.900050532655880e-04    1.609720779531867e-04    9.507703451912007e-06    1.731206689430325e-04    1.982963702608734e-04    1.815248769304468e-05    3.629408434653254e-04
    3.200359716307346e-01    5.827483511491153e+01    1.820686736736649e-04    1.588909644589262e-04    7.910713043329910e-06    1.646184944120535e-04    1.964781737967662e-04    1.779593724536764e-05    3.528137423121069e-04
    3.324484985405327e-01    6.053501216732891e+01    1.741393171798718e-04    1.573611146021270e-04    7.518792787340626e-06    1.610647698285340e-04    2.002700761131520e-04    1.728508065885489e-05    3.485574441915481e-04
    3.450496947450128e-01    6.282954370803339e+01    1.661359256960253e-04    2.223843603080967e-04    7.460643332917543e-06    1.605022313377941e-04    2.835749327532165e-04    1.663850456798231e-05    4.284438811561187e-04
    3.578359987829319e-01    6.515778123627788e+01    1.580251802566866e-04    2.250981747697305e-04    7.690348686954545e-06    1.561225178586941e-04    2.840152878614656e-04    1.588800666854227e-05    4.254311230037342e-04
    3.708037968762384e-01    6.751906672503175e+01    1.498156494593870e-04    2.466232970885693e-04    7.109651361837092e-06    1.486693777344829e-04    1.918216053126619e-04    1.589083669242802e-05    3.774506026803135e-04
    3.839494239514293e-01    6.991273280695820e+01    1.416576151346472e-04    1.455335763808123e-04    6.319140528773446e-06    1.430815399484861e-04    1.775660931577381e-04    1.594674602046444e-05    3.058482900701292e-04
    3.972691646754060e-01    7.233810296303152e+01    1.336450243790157e-04    1.359641617277975e-04    6.275982129752427e-06    1.377481163273437e-04    1.588811423522360e-04    1.497477113015992e-05    2.843037785267493e-04
    4.107592545055342e-01    7.479449171374085e+01    1.259600036016681e-04    1.307370403275734e-04    6.615827779533592e-06    1.307302193961427e-04    1.419460145878757e-04    1.236660296418505e-05    2.653184117014367e-04
    4.244158807536126e-01    7.728120481282647e+01    1.188253574175379e-04    1.323592488425473e-04    7.879420495503425e-06    1.258889588158137e-04    1.360762943637635e-04    1.291444354750270e-05    2.573559641402522e-04
    4.382351836634480e-01    7.979753944349379e+01    1.123734444403104e-04    1.364524222585135e-04    6.369423661446792e-06    1.229137424231362e-04    1.375871607071210e-04    1.265582469162539e-05    2.559019516922596e-04
    4.522132575017341e-01    8.234278441704960e+01    1.153788072775436e-04    1.403392970351055e-04    5.927457041043254e-06    1.205831393832651e-04    1.407312082857088e-04    1.244579606797031e-05    2.598903355973718e-04
    4.663461516619241e-01    8.491622037390462e+01    1.100381005343818e-04    1.418135691200969e-04    5.306559826237217e-06    1.188971234780882e-04    1.431209445079207e-04    1.226524670842354e-05    2.588787332671539e-04
    4.806298717807854e-01    8.751711998688504e+01    1.052232545376608e-04    1.403559211184748e-04    5.248029343137466e-06    1.171683442610523e-04    1.435121849669711e-04    1.208873924556824e-05    2.554790900404909e-04
    4.950603808673232e-01    9.014474816679636e+01    1.007005360195677e-04    1.374664402252750e-04    5.141792449239413e-06    1.129812040250123e-04    1.421396983848013e-04    1.181576829599549e-05    2.493433714232580e-04
    5.096336004437489e-01    9.279836227018066e+01    9.627347472823763e-05    1.336591681621466e-04    4.707942624158587e-06    1.067695807799713e-04    1.395782874168549e-04    1.139694481805873e-05    2.411788795544436e-04
    5.243454116981767e-01    9.547721230920904e+01    9.187898668865961e-05    1.278423148156487e-04    4.785968168043220e-06    1.025461026117928e-04    1.358370595823475e-04    1.093112903484368e-05    2.321534204841419e-04
    5.391916566487176e-01    9.818054116364982e+01    8.762105922726428e-05    1.213746339873262e-04    5.146168035556526e-06    1.016299775849306e-04    1.315599431150929e-04    1.051624168543987e-05    2.240156181087870e-04
    5.541681393186459e-01    1.009075847948527e+02    8.370963214017839e-05    1.177115552665693e-04    5.072605367691360e-06    1.024725352209267e-04    1.299079435543028e-04    1.030016771642115e-05    2.199359720683119e-04
    5.692706269223023e-01    1.036575724616876e+02    8.034082210056352e-05    1.159438622930614e-04    4.780298073860684e-06    1.025407456847313e-04    1.300788653949028e-04    1.011235406361474e-05    2.178482352501751e-04
    5.844948510614016e-01    1.064297269383792e+02    7.757212116099455e-05    1.129455510161014e-04    4.778654041162902e-06    1.746652269110263e-04    1.293939228411775e-04    9.934874681698576e-06    2.571894195048502e-04
    5.998365089314049e-01    1.092232647341723e+02    7.528870753484946e-05    1.092951755347346e-04    4.643567081960321e-06    1.252635946287077e-04    1.282481206670684e-04    9.826570591117444e-06    2.233170340036862e-04
    6.152912645376163e-01    1.120373963147697e+02    7.329992995367336e-05    1.058219016224264e-04    4.436619468757549e-06    1.236299767312876e-04    1.256449549290299e-04    9.706569331168857e-06    2.185316487843075e-04
    6.308547499206600e-01    1.148713263254770e+02    7.141578000403371e-05    1.022025599914441e-04    4.257804646244942e-06    1.242668214175129e-04    1.212967407791707e-04    9.622604128561190e-06    2.140360776641902e-04
    6.465225663909910e-01    1.177242538159927e+02    6.944584956032055e-05    9.799073649332924e-05    3.984173809048828e-06    1.251481977626190e-04    1.150938389791880e-04    9.756707938158100e-06    2.084337799508272e-04
    6.622902857720927e-01    1.205953724667802e+02    6.726592225416435e-05    9.378216262856914e-05    3.970305116365680e-06    1.221965003962278e-04    1.075028080497528e-04    9.640354203062123e-06    1.997932344288452e-04
    6.781534516520057e-01    1.234838708169564e+02    6.490156114488916e-05    9.084321496030651e-05    3.898676664864830e-06    1.130172536550679e-04    1.009604565744343e-04    9.281514170026031e-06    1.884992359237724e-04
    6.941075806428396e-01    1.263889324936345e+02    6.245201137949760e-05    8.943307380094749e-05    3.780150136318097e-06    9.867807757910042e-05    9.643486473721748e-05    8.588192295886056e-06    1.761352353403124e-04
    7.101481636479068e-01    1.293097364426540e+02    5.997622463387340e-05    8.937734876829228e-05    3.634904113330588e-06    8.687995096903371e-05    9.449855005312112e-05    7.790156116122937e-06    1.677422394536701e-04
    7.262706671361236e-01    1.322454571606346e+02    5.750135124352833e-05    8.895136673376184e-05    3.660562239084791e-06    8.351850906315702e-05    9.410519949221469e-05    7.096224324273264e-06    1.646621908083474e-04
    7.424705344233169e-01    1.351952649282874e+02    5.505259563498280e-05    1.347627549212033e-04    3.630845612632740e-06    8.424166060455367e-05    9.136339131126457e-05    6.691278830526409e-06    1.915559221367481e-04
    7.587431869600734e-01    1.381583260449167e+02    5.264773891741524e-05    1.276398700136492e-04    3.305861002612162e-06    8.080118477246535e-05    8.590194624008725e-05    6.476858668262382e-06    1.817266493221722e-04
    7.750840256257712e-01    1.411338030640490e+02    5.028604070014987e-05    7.887779380488350e-05    2.945650285696953e-06    7.203606571445037e-05    8.036685632641343e-05    6.334934184144179e-06    1.429938000437533e-04
    7.914884320284229e-01    1.441208550301184e+02    4.793716406905485e-05    7.553556919705143e-05    3.879387151302662e-06    5.509642101548527e-05    7.707942299016378e-05    6.109953267400861e-06    1.305098775714610e-04
    8.079517698099662e-01    1.471186377161457e+02    4.552804325062196e-05    7.348594466027702e-05    3.820470327824835e-06    5.402320937268422e-05    7.572681310189280e-05    5.752659575125888e-06    1.271759931907385e-04
    8.244693859566329e-01    1.501263038623408e+02    4.294950816364134e-05    7.305443555501618e-05    2.814773919336286e-06    5.370104213204994e-05    7.543679560080712e-05    5.290391806180184e-06    1.256663600969915e-04
    8.410366121140243e-01    1.531430034155628e+02    4.010444586187046e-05    7.407682005319637e-05    2.818425000927864e-06    5.327388884937861e-05    7.709678178726506e-05    4.574274896680466e-06    1.261214904466590e-04
    8.576487659065226e-01    1.561678837695700e+02    3.695381536074855e-05    7.579812467392155e-05    2.852753315298770e-06    5.276518438600774e-05    8.095765153946367e-05    4.207258960393428e-06    1.283553093148547e-04
    8.743011522606657e-01    1.592000900059901e+02    3.351860548691596e-05    9.318099957546335e-05    3.532821222799580e-06    5.292744498761279e-05    8.555322211107005e-05    3.886373640036023e-06    1.412602158006107e-04
    8.909890647321099e-01    1.622387651359457e+02    2.501180994253567e-05    1.233953775573257e-04    4.068775287358685e-06    5.315600300530935e-05    8.773692070820120e-05    3.600184358361153e-06    1.624957045885439e-04
    9.077077868358066e-01    1.652830503422634e+02    2.142860335015643e-05    1.220923723634200e-04    2.874886378703994e-06    5.132337331243891e-05    8.485698045207129e-05    3.072705193844617e-06    1.588025021823530e-04
    9.244525933790173e-01    1.683320852222006e+02    1.786674230293216e-05    9.453058887877901e-05    2.855219223686365e-06    4.696982866940484e-05    7.749375144839300e-05    2.772766682526807e-06    1.322215547668296e-04
    9.412187517967892e-01    1.713850080306200e+02    1.417307390476736e-05    8.588128184171999e-05    2.848600253593727e-06    4.089492127973660e-05    6.712903114217654e-05    2.397278988232311e-06    1.173415249312974e-04
    9.580015234895140e-01    1.744409559235437e+02    1.028475387259368e-05    6.662003671013809e-05    2.696099897651962e-06    3.302078872906870e-05    5.373199477758601e-05    1.925787689233430e-06    9.237143940326155e-05
    9.747961651621934e-01    1.774990652020178e+02    6.237327313299892e-06    4.286975851038194e-05    2.149636580775517e-06    2.253228334859593e-05    3.630295275186449e-05    1.296025174403347e-06    6.089851588371687e-05
    9.915979301650304e-01    1.805584715562184e+02    2.090101368192691e-06    1.503660795501603e-05    8.605748622344142e-07    8.258619298287666e-06    1.322561208664743e-05    4.679932326378431e-07    2.178415288832689e-05
