% Filename : LM_Channel_0180_RSTE_vv_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_0180_RSTE_vv_prof.dat
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=v, u_j=v)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Production are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    1.148153220600561e-15    7.114768312555227e-13    3.984586638825892e-21    5.575390113007485e-15    1.134771450872491e-37    7.114996027013154e-13
    5.791461380333374e-05    1.054557883895367e-02    0.000000000000000e+00    5.951820551090372e-16    1.219986390090353e-09    2.513118177418145e-06    2.512704743064238e-06    8.137521673405577e-10    3.553793782712554e-06
    2.141030191135096e-04    3.898567424427084e-02    0.000000000000000e+00    6.257214909512126e-15    1.641876685045503e-08    9.181296489804873e-06    9.175748959936570e-06    1.096906559740513e-08    1.298040693144037e-05
    5.088966186284072e-04    9.266416643727822e-02    0.000000000000000e+00    4.669856374103936e-13    9.011604575683094e-08    2.133995950771556e-05    2.130969285943393e-05    6.038286488956343e-08    3.015806108731834e-05
    9.825876412230539e-04    1.789178025409327e-01    0.000000000000000e+00    1.178395546464223e-11    3.207364355008517e-07    3.974675167565504e-05    3.964013147280907e-05    2.159591355737526e-07    5.613638572403116e-05
    1.675417754204322e-03    3.050741230036028e-01    0.000000000000000e+00    1.554707549865867e-10    8.714294114171507e-07    6.429245765642071e-05    6.400754085161791e-05    5.910919326689595e-07    9.072813332307849e-05
    2.627566689856309e-03    4.784493906250172e-01    0.000000000000000e+00    1.307389412382864e-09    2.605550612192204e-06    9.378107787510028e-05    9.315900917115653e-05    1.338846951432403e-06    1.322197903644858e-04
    3.879140889489485e-03    7.063465227694476e-01    0.000000000000000e+00    7.840909078909720e-09    5.033101556604627e-06    1.258908564568470e-04    1.247389482787223e-04    3.499601032063213e-06    1.773298969076077e-04
    5.412247554401284e-03    9.855074485118559e-01    0.000000000000000e+00    3.434961486781320e-08    8.463035222590903e-06    1.564281110811753e-04    1.546133293337758e-04    5.989035135829597e-06    2.201874842742706e-04
    7.226453384460596e-03    1.315853268928577e+00    0.000000000000000e+00    1.173091044592100e-07    1.270744239178333e-05    1.823973286874477e-04    1.799213880757860e-04    9.210963018492611e-06    2.566842926490223e-04
    9.321245632810338e-03    1.697290618769450e+00    0.000000000000000e+00    3.281718332661759e-07    1.734619919706629e-05    2.016693020414343e-04    1.987410788679044e-04    1.295435336274782e-05    2.839671414263299e-04
    1.169603225078431e-02    2.129711692845490e+00    0.000000000000000e+00    7.802635321995894e-07    2.182262641440685e-05    2.135398332479310e-04    2.106248677980536e-04    1.693002744967327e-05    3.012068342231810e-04
    1.435014205523744e-02    2.612994276497792e+00    0.000000000000000e+00    1.621366701159282e-06    2.555027178521127e-05    2.175799993195692e-04    2.154144747992944e-04    2.082879588051226e-05    3.079508662320491e-04
    1.728282491824162e-02    3.147001780138933e+00    0.000000000000000e+00    3.010329213747963e-06    2.798664351606973e-05    2.142522092208092e-04    2.137633170619975e-04    2.440009146969766e-05    3.049367862989734e-04
    2.049325197909280e-02    3.731583277857002e+00    0.000000000000000e+00    5.087626563502986e-06    2.885317529900615e-05    2.042294396339111e-04    2.063558223243839e-04    2.750830439901805e-05    2.930997882976852e-04
    2.398051587857197e-02    4.366573550071815e+00    0.000000000000000e+00    7.960237185408983e-06    2.836713015477409e-05    1.882685632189008e-04    1.936122699290551e-04    3.022001671272146e-05    2.733350907274321e-04
    2.774363101539001e-02    5.051793130230531e+00    0.000000000000000e+00    1.171679194575442e-05    2.687701085973826e-05    1.675807976757811e-04    1.759020035942060e-04    3.276714696344340e-05    2.468971070395229e-04
    3.178153382474769e-02    5.787048355530207e+00    0.000000000000000e+00    1.645287449417792e-05    2.450473455418081e-05    1.527386054531384e-04    1.542565812144917e-04    3.556118893651993e-05    2.219458305466076e-04
    3.609308307892944e-02    6.572131421652430e+00    0.000000000000000e+00    2.223885844767219e-05    1.874310113528310e-05    1.295212972520238e-04    1.418082775505605e-04    3.880502829080744e-05    1.980834544064126e-04
    4.067706020984729e-02    7.406820441494814e+00    0.000000000000000e+00    2.899142599117232e-05    1.676046286547826e-05    1.102824629001617e-04    1.235571846150673e-04    4.256040747002253e-05    1.742452400319974e-04
    4.553216965344320e-02    8.290879507882680e+00    0.000000000000000e+00    3.634170604557434e-05    1.457587280227625e-05    8.864331286709452e-05    1.131170510927210e-04    4.675764193862324e-05    1.561171256136828e-04
    5.065703921585307e-02    9.224058760243272e+00    0.000000000000000e+00    4.364604582484343e-05    1.244295956367879e-05    8.997042555818436e-05    1.003577167644894e-04    5.137990519809580e-05    1.512152373483415e-04
    5.605022046122787e-02    1.020609445522346e+01    0.000000000000000e+00    5.014466825308153e-05    1.077795957016438e-05    9.634429917919215e-05    1.087395380342570e-04    5.623274545802808e-05    1.640100147694902e-04
    6.171018912110404e-02    1.123670904123138e+01    0.000000000000000e+00    5.513735285331074e-05    9.851208196897167e-06    1.063175948047470e-04    1.194167162169909e-04    6.208408620995845e-05    1.804311248655574e-04
    6.763534552520467e-02    1.231561123688027e+01    0.000000000000000e+00    5.812556284112299e-05    1.079773612953441e-05    1.406745659644973e-04    1.579601754302325e-04    6.726918110982252e-05    2.296977697313494e-04
    7.382401505355363e-02    1.344249611331326e+01    0.000000000000000e+00    5.902527112160251e-05    1.158225669395056e-05    1.584760660929301e-04    1.715611185048434e-04    6.629474617025893e-05    2.501219813966896e-04
    8.027444860977029e-02    1.461704518038482e+01    0.000000000000000e+00    5.846128465238542e-05    9.080281814547575e-06    1.743608236055180e-04    1.795598801950417e-04    7.158582366220261e-05    2.669609538012761e-04
    8.698482311541555e-02    1.583892647667542e+01    0.000000000000000e+00    5.789871481955083e-05    9.469278609706427e-06    1.878009023203657e-04    1.813833334968837e-04    7.641002298936299e-05    2.782975253414306e-04
    9.395324202524546e-02    1.710779466331326e+01    0.000000000000000e+00    5.921845187231528e-05    9.714571002705056e-06    1.986417139956141e-04    1.768704580301769e-04    8.064560855006795e-05    2.843353681363805e-04
    1.011777358632303e-01    1.842329112157711e+01    0.000000000000000e+00    6.352924894649983e-05    9.846497892641253e-06    2.066393023022929e-04    1.426881762527696e-04    8.425633630917765e-05    2.725651593638138e-04
    1.086562627791852e-01    1.978504405425227e+01    0.000000000000000e+00    7.018171636320709e-05    9.867843521500007e-06    2.113882227468711e-04    1.417430975508747e-04    7.947050101721865e-05    2.758885546715843e-04
    1.163867091258549e-01    2.119266859071105e+01    0.000000000000000e+00    7.758827456288152e-05    9.758750076251973e-06    2.130554379697777e-04    1.417253118420873e-04    8.194060788601844e-05    2.798358812565979e-04
    1.243668900562930e-01    2.264576689568853e+01    0.000000000000000e+00    8.465870759865270e-05    9.633704535274555e-06    2.127083568000824e-04    1.416452574821682e-04    8.378197054332873e-05    2.821126506260420e-04
    1.325945501413611e-01    2.414392828172205e+01    0.000000000000000e+00    9.107592718399265e-05    9.791844000452687e-06    2.114539636914099e-04    1.419679876769480e-04    8.492356237340841e-05    2.836730590898499e-04
    1.410673640071792e-01    2.568672932522346e+01    0.000000000000000e+00    9.661084753343162e-05    1.039941433819741e-05    2.097351731442123e-04    1.440002935997512e-04    8.527453222331420e-05    2.853742751830616e-04
    1.497829369923429e-01    2.727373398615082e+01    0.000000000000000e+00    1.005263727943616e-04    1.126501463144121e-05    2.076878183144332e-04    1.474745797054083e-04    8.498108382147848e-05    2.869446258859129e-04
    1.587388058247237e-01    2.890449373124580e+01    0.000000000000000e+00    1.261149771411363e-04    1.194091450749593e-05    2.059809192902872e-04    1.506706014686294e-04    8.419375516637560e-05    2.970958272446630e-04
    1.679324393176608e-01    3.057854766080223e+01    0.000000000000000e+00    1.310150205265532e-04    1.216379515165223e-05    2.056484170539376e-04    1.523347165094886e-04    8.324817177027346e-05    2.995668354640980e-04
    1.773612390853474e-01    3.229542263892949e+01    0.000000000000000e+00    1.318909731811970e-04    1.193281207203495e-05    2.071750737239729e-04    1.522198670814851e-04    8.234397303623926e-05    3.006834711334516e-04
    1.870225402772094e-01    3.405463342727447e+01    0.000000000000000e+00    1.286805913903231e-04    1.128760950261504e-05    2.099357882343185e-04    1.506519638535395e-04    8.155576951015445e-05    3.001774436291526e-04
    1.969136123310693e-01    3.585568282216393e+01    0.000000000000000e+00    1.097581030468187e-04    1.041360422312668e-05    2.121881229896417e-04    1.493323798249930e-04    8.080089021337909e-05    2.932712522541032e-04
    2.070316597448810e-01    3.769806179512845e+01    0.000000000000000e+00    1.131511770988313e-04    9.562182057933242e-06    2.114846428512364e-04    1.512623882773710e-04    8.109152544279705e-05    2.950873158448006e-04
    2.173738228668202e-01    3.958124963676869e+01    0.000000000000000e+00    1.161462421009668e-04    8.710426598915018e-06    2.057011885654871e-04    1.568823446596353e-04    7.957126381169389e-05    2.946565053642297e-04
    2.279371787035034e-01    4.150471410392278e+01    0.000000000000000e+00    1.171704623698376e-04    7.935855816028394e-06    1.701640371401759e-04    1.626343669517647e-04    6.951227979172826e-05    2.720837903128046e-04
    2.387187417461112e-01    4.346791157009366e+01    0.000000000000000e+00    1.151284319992173e-04    7.647147979561386e-06    1.635827242947172e-04    1.650041551279497e-04    6.792518422231007e-05    2.681651436626774e-04
    2.497154648141782e-01    4.547028717909350e+01    0.000000000000000e+00    1.101389693132842e-04    7.893165333919304e-06    1.561912429134074e-04    1.630022885748310e-04    6.582000024581398e-05    2.597895638708522e-04
    2.609242399168145e-01    4.751127500186213e+01    0.000000000000000e+00    1.037054995047370e-04    9.741462413387212e-06    1.488392877670471e-04    1.573837309128104e-04    6.347603704571320e-05    2.485994898135251e-04
    2.723418991311134e-01    4.959029819641487e+01    0.000000000000000e+00    9.754375405113932e-05    8.059330900998051e-06    1.422783761254925e-04    1.498078626075797e-04    6.151091192125713e-05    2.367464066597510e-04
    2.839652154974980e-01    5.170676917087474e+01    0.000000000000000e+00    9.309969240003033e-05    7.740439422971889e-06    1.376650200079279e-04    1.428585008560482e-04    5.961882751771061e-05    2.272489399813522e-04
    2.957909039317521e-01    5.386008974954277e+01    0.000000000000000e+00    9.174507701996503e-05    7.284491629788901e-06    1.350053137021331e-04    1.386215911901197e-04    5.786171463012974e-05    2.219472488397511e-04
    3.078156221534808e-01    5.604965134195976e+01    0.000000000000000e+00    9.347658366360113e-05    6.820462320495464e-06    1.329463512204160e-04    1.365162138670828e-04    5.581232159866869e-05    2.195696121810621e-04
    3.200359716307346e-01    5.827483511491153e+01    0.000000000000000e+00    9.620091511702394e-05    6.482009149230351e-06    1.304005363852500e-04    1.347475950529841e-04    5.487664516464475e-05    2.178744890036779e-04
    3.324484985405327e-01    6.053501216732891e+01    0.000000000000000e+00    9.818356319884675e-05    6.335684000262802e-06    1.276470703204909e-04    1.335209500291807e-04    5.332717854244352e-05    2.159758310635014e-04
    3.450496947450128e-01    6.282954370803339e+01    0.000000000000000e+00    9.937044963497207e-05    6.431409456658352e-06    1.248426139539602e-04    1.329794618067084e-04    5.170541376865798e-05    2.141460123899187e-04
    3.578359987829319e-01    6.515778123627788e+01    0.000000000000000e+00    1.001621241007546e-04    6.481507117366998e-06    1.211493887744818e-04    1.319266290677809e-04    5.003833461049110e-05    2.113293775770357e-04
    3.708037968762384e-01    6.751906672503175e+01    0.000000000000000e+00    9.980465710597258e-05    6.216791154696675e-06    1.159035276111458e-04    1.287843199380687e-04    4.843257950788876e-05    2.058260469539954e-04
    3.839494239514293e-01    6.991273280695820e+01    0.000000000000000e+00    9.769934509586091e-05    5.838868442321728e-06    1.096996758768439e-04    1.228780409113507e-04    4.698207202480630e-05    1.972805143299437e-04
    3.972691646754060e-01    7.233810296303152e+01    0.000000000000000e+00    1.367282284941227e-04    5.669052843631360e-06    1.043707658381603e-04    1.158550919918108e-04    4.552058705603622e-05    2.124018116101793e-04
    4.107592545055342e-01    7.479449171374085e+01    0.000000000000000e+00    1.334014671166631e-04    5.760692656286505e-06    1.009331975212100e-04    1.330562224393092e-04    4.390865108221996e-05    2.182855362599479e-04
    4.244158807536126e-01    7.728120481282647e+01    0.000000000000000e+00    1.114955399254884e-04    5.928256049771257e-06    9.852175455953612e-05    1.375526893428278e-04    4.160887552846649e-05    2.069419644072831e-04
    4.382351836634480e-01    7.979753944349379e+01    0.000000000000000e+00    1.073393675026574e-04    5.834932866234262e-06    9.588691193381910e-05    1.381307733485492e-04    4.015667853480463e-05    2.035749383260226e-04
    4.522132575017341e-01    8.234278441704960e+01    0.000000000000000e+00    9.316930269309611e-05    5.358553827985775e-06    9.249446985614130e-05    1.328608148133575e-04    4.253013009945938e-05    1.916383784542126e-04
    4.663461516619241e-01    8.491622037390462e+01    0.000000000000000e+00    9.725229595886944e-05    4.710843681186916e-06    8.864852033872100e-05    1.222071816561099e-04    4.149324179357732e-05    1.843774542577656e-04
    4.806298717807854e-01    8.751711998688504e+01    0.000000000000000e+00    1.005173011111673e-04    4.381557723545673e-06    8.505006893341110e-05    1.008782244934794e-04    4.023863067019986e-05    1.707395785150748e-04
    4.950603808673232e-01    9.014474816679636e+01    0.000000000000000e+00    1.007675279976025e-04    4.361997046952361e-06    8.178240964534533e-05    9.903780574980788e-05    3.866377119726851e-05    1.678238910742916e-04
    5.096336004437489e-01    9.279836227018066e+01    0.000000000000000e+00    9.768708667126941e-05    4.240319197151861e-06    7.905665983716445e-05    9.578861972662693e-05    3.677431661438697e-05    1.622914437221214e-04
    5.243454116981767e-01    9.547721230920904e+01    0.000000000000000e+00    9.306566773689639e-05    3.904251501932666e-06    7.746649291061077e-05    9.268418602528683e-05    3.466149167094819e-05    1.564266491330669e-04
    5.391916566487176e-01    9.818054116364982e+01    0.000000000000000e+00    8.899377491750747e-05    3.630563240110626e-06    7.674287836466795e-05    1.357295826872929e-04    3.272840133247322e-05    1.825272862161950e-04
    5.541681393186459e-01    1.009075847948527e+02    0.000000000000000e+00    8.521464167460603e-05    3.629512985718697e-06    7.581446892693442e-05    1.083901176892143e-04    3.085051871447930e-05    1.603830238415284e-04
    5.692706269223023e-01    1.036575724616876e+02    0.000000000000000e+00    8.117185008707784e-05    3.629309518370459e-06    7.398205659253599e-05    8.881776106040918e-05    2.749514536140794e-05    1.439443070427909e-04
    5.844948510614016e-01    1.064297269383792e+02    0.000000000000000e+00    7.768349951034474e-05    3.687528933253782e-06    7.161219963985114e-05    8.590715071042591e-05    2.649421271448102e-05    1.387754047142692e-04
    5.998365089314049e-01    1.092232647341723e+02    0.000000000000000e+00    7.557354967449927e-05    3.829394417098272e-06    6.907215547301802e-05    8.280496174748336e-05    2.558895462080545e-05    1.341955462088154e-04
    6.152912645376163e-01    1.120373963147697e+02    0.000000000000000e+00    7.426072211347738e-05    3.862596606665981e-06    6.621266363161770e-05    7.930059125398086e-05    2.492535022500150e-05    1.297056212491371e-04
    6.308547499206600e-01    1.148713263254770e+02    0.000000000000000e+00    7.226895425896138e-05    3.764411293714387e-06    6.303362822548435e-05    7.508849372777989e-05    2.437094869015303e-05    1.242675977868148e-04
    6.465225663909910e-01    1.177242538159927e+02    0.000000000000000e+00    6.888164742962557e-05    4.459094593272131e-06    5.978252454278936e-05    7.100633912301663e-05    2.382290802655801e-05    1.181014236172235e-04
    6.622902857720927e-01    1.205953724667802e+02    0.000000000000000e+00    8.052999733148136e-05    3.701163738647890e-06    5.670046584463557e-05    6.789527482077893e-05    2.320841478133738e-05    1.219102980468798e-04
    6.781534516520057e-01    1.234838708169564e+02    0.000000000000000e+00    7.695062878967892e-05    3.754717544017808e-06    5.414408056491492e-05    6.622752832782766e-05    2.343380665506825e-05    1.174832219422954e-04
    6.941075806428396e-01    1.263889324936345e+02    0.000000000000000e+00    6.308032010370325e-05    3.648781214171453e-06    5.223909843159379e-05    6.632501376080681e-05    2.276081027216005e-05    1.078815356226300e-04
    7.101481636479068e-01    1.293097364426540e+02    0.000000000000000e+00    6.336004738716368e-05    3.489706773698687e-06    5.068253310332127e-05    6.725143011201115e-05    2.254260664289002e-05    1.078253995420655e-04
