% Filename : LM_Channel_0180_RSTE_ww_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_0180_RSTE_ww_prof.dat
% 
% Total number of data points  : 96
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 1024 
%  Grid (wall-normal)      ny = 192 
%  Grid (spanwise)         nz = 512 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 3.50000e-04 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 6.37309e-02 
%  Re_tau              Re_tau =  182.088 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=w, u_j=w)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Production should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% *** Analytic values of Pressure_Transport are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    1.110223024625157e-16    2.021587241307348e-14    0.000000000000000e+00    4.790010372474188e-14    8.239831465369522e-04    3.237445435554690e-21    0.000000000000000e+00    8.239806281281024e-04    1.165286360216800e-03
    5.791461380333374e-05    1.054557883895367e-02    5.788204607783651e-16    2.133471332780583e-12    8.172376158602549e-04    2.014646620013849e-06    0.000000000000000e+00    8.194842586619095e-04    1.157339980201417e-03
    2.141030191135096e-04    3.898567424427084e-02    2.926240563769359e-14    1.075171138544891e-10    7.993094819197777e-04    7.374887425103963e-06    0.000000000000000e+00    8.075223781338627e-04    1.136240479844992e-03
    5.088966186284072e-04    9.266416643727822e-02    3.933498640945082e-13    1.436361763201499e-09    7.664207388359005e-04    1.720737396872019e-05    0.000000000000000e+00    7.855515306957139e-04    1.097628375187663e-03
    9.825876412230539e-04    1.789178025409327e-01    2.834930824622473e-12    1.024969311686107e-08    7.158939551207914e-04    3.225544741209960e-05    0.000000000000000e+00    7.517772305465627e-04    1.038611367807786e-03
    1.675417754204322e-03    3.050741230036028e-01    1.406276774987357e-11    5.008160162564684e-08    6.466277749130405e-04    5.269175856856511e-05    0.000000000000000e+00    7.053686948677499e-04    9.583573962346395e-04
    2.627566689856309e-03    4.784493906250172e-01    5.415214604637512e-11    2.236294206234466e-07    5.596057466346894e-04    7.799637881558798e-05    0.000000000000000e+00    6.467489333355507e-04    8.587934906342189e-04
    3.879140889489485e-03    7.063465227694476e-01    1.730526707864051e-10    7.011939565551410e-07    4.596698592982986e-04    1.069590894733075e-04    0.000000000000000e+00    5.776641494989503e-04    7.459443596258483e-04
    5.412247554401284e-03    9.855074485118559e-01    4.630693321360121e-10    1.811482026755303e-06    3.553783908647503e-04    1.367547275744638e-04    0.000000000000000e+00    5.039250848045544e-04    6.316165203430086e-04
    7.226453384460596e-03    1.315853268928577e+00    1.075125914411414e-09    3.981135820830871e-06    2.503861215197728e-04    1.654633550550042e-04    0.000000000000000e+00    4.309597236225391e-04    5.251794593700024e-04
    9.321245632810338e-03    1.697290618769450e+00    2.226590816752917e-09    7.635290492582255e-06    1.506780246944593e-04    1.918028600292471e-04    0.000000000000000e+00    3.621431263512037e-04    4.366899882874701e-04
    1.169603225078431e-02    2.129711692845490e+00    4.203652617846131e-09    1.305129954658671e-05    8.203652255283939e-05    2.152014139820188e-04    0.000000000000000e+00    3.011257419678785e-04    3.793266251209550e-04
    1.435014205523744e-02    2.612994276497792e+00    7.360582864057417e-09    2.025907169105434e-05    5.567205769427266e-05    2.356803726356006e-04    0.000000000000000e+00    2.514023823513127e-04    3.496544064436298e-04
    1.728282491824162e-02    3.147001780138933e+00    1.211289007635184e-08    2.902726486675836e-05    6.484125139621073e-05    3.423281665323807e-04    0.000000000000000e+00    2.158413776231270e-04    4.108808148729560e-04
