% Filename : LM_Channel_2000_RSTE_k_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_2000_RSTE_k_prof.dat
% 
% Total number of data points  : 384
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 4096 
%  Grid (wall-normal)      ny = 768 
%  Grid (spanwise)         nz = 3072 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 2.30000e-05 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 4.58794e-02 
%  Re_tau              Re_tau = 1994.756 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 7/21/2015.
% 
% 
% 
% Remark: (Half of sum of i=j=1, i=j=2 and i=j=3)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Pressure_Strain are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    2.473604587349891e-15    1.073823003197073e-03    0.000000000000000e+00    2.568439404364478e-16    1.073823026380016e-03    1.518615071102325e-03
    1.217311652923492e-06    2.428240184538776e-03    8.861986120586204e-14    3.606677017671433e-13    1.073311883434512e-03    0.000000000000000e+00    3.132263019820751e-07    1.073482210636005e-03    1.518012752099824e-03
    6.086537518545931e-06    1.214115953933537e-02    1.109299130186967e-11    4.521446247779179e-11    1.071287923324479e-03    0.000000000000000e+00    1.558362984778822e-06    1.072131639201858e-03    1.515628748071252e-03
    1.704221791976046e-05    3.399507290269083e-02    2.442774414914300e-10    9.955470240311900e-10    1.066850862163648e-03    0.000000000000000e+00    4.314850623366262e-06    1.069165201971258e-03    1.510408681500058e-03
    3.651878945154508e-05    7.284608820098583e-02    2.416853104838018e-09    9.848395540987931e-09    1.059340808003189e-03    0.000000000000000e+00    9.063771691133942e-06    1.064127744066562e-03    1.501595552178505e-03
    6.695054349292739e-05    1.335500236901577e-01    1.501812588164971e-08    6.118694252653112e-08    1.048494953874870e-03    0.000000000000000e+00    1.610695298091021e-05    1.056819051452712e-03    1.488925835184404e-03
    1.107715847206148e-04    2.209623252004996e-01    6.881687081318962e-08    2.803858772859162e-07    1.034555209980773e-03    0.000000000000000e+00    2.547756003314954e-05    1.047378615075261e-03    1.472768246249153e-03
    1.704157896263991e-04    3.399379833889890e-01    2.543453591143749e-07    1.036021304012792e-06    1.018210675205216e-03    0.000000000000000e+00    3.686319227531203e-05    1.036303416038449e-03    1.454079321186375e-03
    2.470994533848581e-04    4.929032108135004e-01    7.891257089063012e-07    3.211921181569685e-06    1.000447279434473e-03    0.000000000000000e+00    4.938795864415154e-05    1.024503212984032e-03    1.434280314588152e-03
    3.408212691252688e-04    6.798554005853233e-01    2.110210607060677e-06    8.571609555463149e-06    9.814579325870361e-04    0.000000000000000e+00    6.183904256832094e-05    1.012823257210117e-03    1.414109811001000e-03
    4.515796396062921e-04    9.007913665971081e-01    5.000340917933139e-06    2.021640510282658e-05    9.592452011098595e-04    0.000000000000000e+00    7.308837645801383e-05    1.001399995371605e-03    1.392261897881179e-03
    5.793726772437280e-04    1.155707343578231e+00    1.073093927990043e-05    4.297980974994340e-05    9.287933375363021e-04    0.000000000000000e+00    8.222340549536143e-05    9.893466680518004e-04    1.364862281814121e-03
    7.241982041420458e-04    1.444598987157692e+00    2.118969612699253e-05    8.344795315051601e-05    6.882487312173470e-04    0.000000000000000e+00    8.863737532631119e-05    9.746088200123125e-04    1.205921017199915e-03
    8.860537521320211e-04    1.767461373939184e+00    3.893106360487214e-05    1.491295013791616e-04    6.325910297886336e-04    0.000000000000000e+00    9.206555803817517e-05    9.542014675061444e-04    1.166439472702799e-03
