% Filename : LM_Channel_2000_RSTE_vv_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_2000_RSTE_vv_prof.dat
% 
% Total number of data points  : 384
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 4096 
%  Grid (wall-normal)      ny = 768 
%  Grid (spanwise)         nz = 3072 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 2.30000e-05 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 4.58794e-02 
%  Re_tau              Re_tau = 1994.756 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 7/21/2015.
% 
% 
% 
% Remark: (u_i=v, u_j=v)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Production are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.530751375252836e-17    1.071137080433414e-13    3.912183720088353e-21    5.136878808728956e-16    2.742211116821912e-38    1.071149408829279e-13
    1.217311652923492e-06    2.428240184538776e-03    0.000000000000000e+00    9.206898971568669e-18    7.838858462391336e-11    6.264790549197630e-07    6.264526039641503e-07    5.226598020430899e-11    8.859564775671132e-07
    6.086537518545931e-06    1.214115953933537e-02    0.000000000000000e+00    1.634401096667152e-17    1.948214567071793e-09    3.117382559127148e-06    3.116725969557645e-06    1.299765095172523e-09    4.408181061866047e-06
    1.704221791976046e-05    3.399507290269083e-02    0.000000000000000e+00    1.626658251604335e-15    1.507371054627931e-08    8.634766901583498e-06    8.629701246732524e-06    1.006993493564579e-08    1.220783648616240e-05
    3.651878945154508e-05    7.284608820098583e-02    0.000000000000000e+00    7.122961279353063e-14    6.761138946408635e-08    1.815014593329597e-05    1.812754338226788e-05    4.527606508147467e-08    2.565233415691443e-05
    6.695054349292739e-05    1.335500236901577e-01    0.000000000000000e+00    1.404602621347961e-12    2.190725435088260e-07    3.228651374241014e-05    3.221390596182042e-05    1.472656988411704e-07    4.560947694198241e-05
    1.107715847206148e-04    2.209623252004996e-01    0.000000000000000e+00    1.622555878422643e-11    5.688754711436367e-07    5.114116470750726e-05    5.095512006629909e-05    3.845980169381549e-07    7.219636087468610e-05
    1.704157896263991e-04    3.399379833889890e-01    0.000000000000000e+00    1.269684845541159e-10    1.253002558445981e-06    7.412801805401348e-05    7.372638455062407e-05    8.540015373860395e-07    1.045602322758328e-04
    2.470994533848581e-04    4.929032108135004e-01    0.000000000000000e+00    7.186105124396246e-10    2.401468827443250e-06    9.952332056940695e-05    9.877591728830308e-05    1.654800224122284e-06    1.402500573623197e-04
    3.408212691252688e-04    6.798554005853233e-01    0.000000000000000e+00    3.079590102519333e-09    4.079513268800488e-06    1.248949622071528e-04    1.236780851366419e-04    2.851371859750180e-06    1.758402487693569e-04
    4.515796396062921e-04    9.007913665971081e-01    0.000000000000000e+00    1.048883724071130e-08    6.264559431183188e-06    1.479348566895749e-04    1.461767529160277e-04    4.457943918206430e-06    2.081141105155988e-04
    5.793726772437280e-04    1.155707343578231e+00    0.000000000000000e+00    2.952603818447046e-08    8.837514556437947e-06    1.667177581074973e-04    1.644468109907229e-04    6.430553071954541e-06    2.344291344128155e-04
    7.241982041420458e-04    1.444598987157692e+00    0.000000000000000e+00    7.080003816053758e-08    1.159863466123619e-05    1.798934805269614e-04    1.772747506526224e-04    8.673583642167441e-06    2.529777973398092e-04
    8.860537521320211e-04    1.767461373939184e+00    0.000000000000000e+00    1.480830637595764e-07    1.430328579864549e-05    1.867855001470105e-04    1.841311160763503e-04    1.105947992678138e-05    2.629068446849067e-04
    1.064936562812813e-03    2.124289001585036e+00    0.000000000000000e+00    2.754935974733790e-07    1.670705104986907e-05    1.873889324340283e-04    1.851329466701271e-04    1.345691494574310e-05    2.642898218866763e-04
    1.260843587598481e-03    2.515075788908999e+00    0.000000000000000e+00    4.637048824534212e-07    1.860727593861975e-05    1.822796811394395e-04    1.809183655498050e-04    1.576049601328449e-05    2.579770844942769e-04
    1.473771487770281e-03    2.939815075980559e+00    0.000000000000000e+00    7.173390910767989e-07    1.987074557829225e-05    1.724585458002154e-04    1.724690487099876e-04    1.791474832505466e-05    2.453646716526483e-04
    1.703716634533836e-03    3.398499624238986e+00    0.000000000000000e+00    1.036362060248515e-06    2.044409847005309e-05    1.591612662422137e-04    1.609190718577456e-04    1.992702422378963e-05    2.281301774478154e-04
    1.950675109080202e-03    3.891121616615142e+00    0.000000000000000e+00    1.424179975919277e-06    2.035008534186451e-05    1.436725111440689e-04    1.473865514208729e-04    2.186703178481047e-05    2.079877576668471e-04
    2.214642702653591e-03    4.417672657666571e+00    0.000000000000000e+00    1.902545323660184e-06    1.967283072632567e-05    1.271823621255634e-04    1.328573934275060e-04    2.385273104027641e-05    1.865101416807249e-04
    2.495614916622313e-03    4.978143773719019e+00    0.000000000000000e+00    2.525293026333072e-06    1.853119044747477e-05    1.021310636612032e-04    1.072022905974773e-04    2.602398436373587e-05    1.514929541607401e-04
    2.793586962555827e-03    5.572525413020117e+00    0.000000000000000e+00    3.373289944273196e-06    1.704245640419725e-05    9.091821296377879e-05    9.743805939885057e-05    2.851000309311521e-05    1.373861039175633e-04
    3.108553762306454e-03    6.200807445902388e+00    0.000000000000000e+00    5.410744644751800e-06    1.528992393042980e-05    7.954676328453299e-05    8.736155261275881e-05    3.140192571133568e-05    1.233242364409634e-04
    3.440509948095416e-03    6.862979164954878e+00    0.000000000000000e+00    7.416503722002374e-06    1.331669046316543e-05    6.727286308672465e-05    7.722066300118814e-05    3.473885333835399e-05    1.092144477889357e-04
    3.789449862605099e-03    7.559029285207190e+00    0.000000000000000e+00    9.800769114023868e-06    1.117502947267463e-05    5.726943137507640e-05    6.606612367590154e-05    3.850698030285509e-05    9.668631939716250e-05
    4.155367559074530e-03    8.288945944319940e+00    0.000000000000000e+00    1.240367867907977e-05    9.019702743035683e-06    4.748709676372508e-05    5.725001902473613e-05    4.264998763270648e-05    8.710233501345781e-05
    4.538256801401630e-03    9.052716702788729e+00    0.000000000000000e+00    1.497813345436392e-05    7.106560873003298e-06    3.847118333031285e-05    4.886166105269167e-05    4.708755805784792e-05    7.974697286249994e-05
    4.938111064248796e-03    9.850328544154747e+00    0.000000000000000e+00    2.208495210363307e-05    5.609250195180239e-06    3.114048256571332e-05    4.135898923654881e-05    5.172810169061055e-05    7.665051171897353e-05
    5.354923533154365e-03    1.068176787522713e+01    0.000000000000000e+00    2.398007865154690e-05    4.380692271517430e-06    4.085966892407109e-05    3.523821004234641e-05    5.646673489415024e-05    8.181669009494075e-05
    5.788687104649082e-03    1.154702052631526e+01    0.000000000000000e+00    2.476710832640160e-05    3.478467699908339e-06    6.318502070210915e-05    3.091238537035783e-05    6.118373305114241e-05    9.652399179932390e-05
    6.239394386376662e-03    1.244607175146930e+01    0.000000000000000e+00    2.442629071606783e-05    3.123160311870314e-06    8.194456691801806e-05    2.848143478669923e-05    6.575801424358394e-05    1.116092219336262e-04
    6.707037697219698e-03    1.337890622873129e+01    0.000000000000000e+00    2.316493450687778e-05    3.069617308785576e-06    1.010096371776188e-04    2.757043387781852e-05    7.008221142093275e-05    1.281430010798249e-04
    7.191609067431326e-03    1.434550806039785e+01    0.000000000000000e+00    1.751649708385716e-05    3.365538030515286e-06    1.186522356541867e-04    4.241197943847122e-05    7.406637814534507e-05    1.472450743268475e-04
    7.693100238770012e-03    1.534586077328899e+01    0.000000000000000e+00    1.680149132677324e-05    3.277921444982711e-06    1.334248868484218e-04    4.486033809704213e-05    7.764417862950303e-05    1.616672623617669e-04
    8.211502664641435e-03    1.637994731903119e+01    0.000000000000000e+00    1.590221294266229e-05    5.192221452282262e-06    1.441037271704988e-04    4.640596021522114e-05    8.078149982180417e-05    1.724090704733069e-04
    8.746807510242927e-03    1.744775007434545e+01    0.000000000000000e+00    1.512511373726407e-05    5.670806327859832e-06    1.499271790798140e-04    4.661094614106546e-05    8.347091910727337e-05    1.785470827921368e-04
    9.299005652715020e-03    1.854925084134968e+01    0.000000000000000e+00    1.486231928560316e-05    5.912341828216036e-06    1.511228834593886e-04    4.514643269074364e-05    8.571944136156220e-05    1.802220664556896e-04
    9.868087681296545e-03    1.968443084786798e+01    0.000000000000000e+00    1.541887934710392e-05    5.907017083492449e-06    1.490821526589691e-04    2.786399161768165e-05    8.753048631288380e-05    1.758866424593339e-04
    1.045404389748472e-02    2.085327074775009e+01    0.000000000000000e+00    1.678406676153704e-05    5.758221472092288e-06    1.284698050315798e-04    3.298999532935926e-05    8.888627378740036e-05    1.606501237972425e-04
    1.105686431520103e-02    2.205575062120218e+01    0.000000000000000e+00    1.867361534785896e-05    5.557241235629627e-06    1.277920816798340e-04    2.818680450487170e-05    8.976360139938591e-05    1.598824664081707e-04
    1.167653866096097e-02    2.329184997512550e+01    0.000000000000000e+00    2.079048978172387e-05    4.761850848326752e-06    1.253293592011761e-04    2.836731426068712e-05    9.017068500203880e-05    1.584229305332551e-04
    1.231305637404945e-02    2.456154774346627e+01    0.000000000000000e+00    2.295492139940774e-05    4.642208524775749e-06    1.217312157364179e-04    2.851850197769631e-05    9.015061398925593e-05    1.559083242126555e-04
    1.296640660670023e-02    2.586482228757359e+01    0.000000000000000e+00    2.505188287658449e-05    4.389543653801802e-06    1.177226919321743e-04    2.862808817523281e-05    8.976286790167780e-05    1.529131682080105e-04
    1.363657822428155e-02    2.720165139656971e+01    0.000000000000000e+00    3.142626896663892e-05    3.976044651340895e-06    1.268802513380054e-04    2.867587517961354e-05    8.908075149154219e-05    1.608095258230776e-04
    1.432355980548528e-02    2.857201228772740e+01    0.000000000000000e+00    3.403849468913309e-05    3.505424957656420e-06    1.240759024354854e-04    2.867652343679666e-05    8.816368826541205e-05    1.586219266526475e-04
    1.502733964252179e-02    2.997588160685862e+01    0.000000000000000e+00    3.589070031768707e-05    2.934758528767182e-06    1.213556430798550e-04    2.873054473350590e-05    8.704000373693651e-05    1.562861277767520e-04
    1.574790574131968e-02    3.141323542871294e+01    0.000000000000000e+00    3.698922974045962e-05    2.796842634301301e-06    1.184260665190468e-04    2.889758409123157e-05    8.571741977018375e-05    1.535685680569267e-04
    1.648524582172972e-02    3.288404925738435e+01    0.000000000000000e+00    3.757236814041255e-05    3.013814242318993e-06    1.152824150333967e-04    2.907804428283308e-05    8.417828666413220e-05    1.504736446854446e-04
    1.723934731773447e-02    3.438829802672938e+01    0.000000000000000e+00    3.784750951477710e-05    2.530288788492607e-06    1.120292699166042e-04    2.920399291439586e-05    8.240635455586475e-05    1.470818619993731e-04
    1.801019737766241e-02    3.592595610079432e+01    0.000000000000000e+00    3.804091586139787e-05    2.404749364854439e-06    1.085690411918540e-04    2.935238524325118e-05    8.042354511023637e-05    1.434211976381688e-04
    1.879778286440703e-02    3.749699727425217e+01    0.000000000000000e+00    3.833028301302569e-05    2.281359185206764e-06    1.045715303884055e-04    3.606227074535967e-05    7.830164750721242e-05    1.408589916796906e-04
    1.960209035565030e-02    3.910139477284839e+01    0.000000000000000e+00    3.854871669876263e-05    2.163794982865960e-06    9.310354514988516e-05    3.793664008456303e-05    7.613543731789619e-05    1.318891548377615e-04
    2.042310614409193e-02    4.073912125385830e+01    0.000000000000000e+00    4.623646695223772e-05    2.059495229744233e-06    8.954613616833674e-05    3.919369401137227e-05    7.400472226604151e-05    1.310473481892557e-04
    2.126081623768261e-02    4.241014880655230e+01    0.000000000000000e+00    4.430367328301509e-05    1.971987150280970e-06    9.969798646557375e-05    3.919814169115456e-05    7.194406548616532e-05    1.364508540673023e-04
    2.211520635986297e-02    4.411444895267251e+01    0.000000000000000e+00    3.398744016864780e-05    1.886533763580211e-06    9.585072759562849e-05    3.768155566492408e-05    6.998165837401540e-05    1.290867895083617e-04
    2.298626194980602e-02    4.585199264691642e+01    0.000000000000000e+00    2.846178489038349e-05    1.801258607687960e-06    9.228890619105612e-05    3.517682519585273e-05    6.813927841577841e-05    1.233326000356043e-04
    2.387396816266618e-02    4.762275027743362e+01    0.000000000000000e+00    2.729323965801346e-05    1.737841211880762e-06    8.903141405761733e-05    2.833489052008912e-05    6.638390227687781e-05    1.178313295117129e-04
    2.477830986983187e-02    4.942669166632965e+01    0.000000000000000e+00    2.637638936950713e-05    1.676712058849531e-06    8.577831370785096e-05    2.825030178033924e-05    6.467636334400560e-05    1.141821172870284e-04
    2.569927165918329e-02    5.126378607018022e+01    0.000000000000000e+00    2.589316098228793e-05    1.591603217257259e-06    8.224863546078403e-05    2.807366215206521e-05    6.300873404143997e-05    1.104357645590866e-04
    2.663683783535509e-02    5.313400218055522e+01    0.000000000000000e+00    2.572738779444475e-05    1.496113384256584e-06    7.875524593138156e-05    2.795995309990475e-05    6.135112829717179e-05    1.068281120322810e-04
    2.759099242000418e-02    5.503730812455282e+01    0.000000000000000e+00    2.560499808245886e-05    1.397306329970362e-06    7.549809313788917e-05    2.801029266465983e-05    5.966336833182960e-05    1.034496228852447e-04
    2.856171915208150e-02    5.697367146534170e+01    0.000000000000000e+00    2.531738302430327e-05    1.288122802865845e-06    7.237612855536201e-05    2.794811463067291e-05    5.794346080047462e-05    1.000973270830056e-04
    2.954900148810957e-02    5.894305920271461e+01    0.000000000000000e+00    2.480811886867699e-05    1.196688001264329e-06    6.930404438364808e-05    2.766187675585414e-05    5.619793661686107e-05    9.666081366072934e-05
    3.055282260246439e-02    6.094543777365077e+01    0.000000000000000e+00    2.422210303651011e-05    1.120293845312929e-06    5.699315013923384e-05    2.737561842178074e-05    5.445118136340392e-05    8.689384404231209e-05
    3.157316538766197e-02    6.298077305288735e+01    0.000000000000000e+00    2.909128866045977e-05    1.032643256377639e-06    5.532139535376909e-05    5.471503409451663e-05    5.273832964978097e-05    9.840168993529657e-05
    3.261001245465012e-02    6.504903035350158e+01    0.000000000000000e+00    2.988711835269991e-05    9.309854255380679e-07    5.363714734906154e-05    5.377579733369452e-05    5.108242542253010e-05    9.629278643262294e-05
    3.366334613310440e-02    6.715017442750107e+01    0.000000000000000e+00    2.939371073597509e-05    8.647930368435863e-07    5.028720266425370e-05    3.383514531708314e-05    4.948001193608774e-05    8.358606037758924e-05
    3.473314847172981e-02    6.928416946642564e+01    0.000000000000000e+00    2.771232894584022e-05    8.726880258827841e-07    4.910747871409338e-05    2.789463390238192e-05    4.793167181131491e-05    7.909383660452705e-05
    3.581940123856664e-02    7.145097910195732e+01    0.000000000000000e+00    2.856949906968401e-05    9.194283143657087e-07    4.796190645476111e-05    2.793004040942777e-05    4.646364893760066e-05    7.782264404504679e-05
    3.692208592130042e-02    7.365056640653874e+01    0.000000000000000e+00    3.070640827506407e-05    9.305889422664308e-07    4.680124266840279e-05    2.787707103738489e-05    4.508493348972882e-05    7.709661560430387e-05
    3.804118372757859e-02    7.588289389400479e+01    0.000000000000000e+00    3.141912164798853e-05    9.173270817953506e-07    4.561293049447253e-05    2.780146163815227e-05    4.378920396063082e-05    7.588779727415375e-05
    3.917667558532989e-02    7.814792352021966e+01    0.000000000000000e+00    3.005243894958396e-05    9.053986732390781e-07    4.444368280288558e-05    2.780615395592169e-05    4.255845937678519e-05    7.391626638978308e-05
