% Filename : LM_Channel_5200_RSTE_uu_stdev.dat 
% 
% Description : Estimated uncertainty due to finite statistical sample, expressed as the standard deviation, 
%               for the statistical data provided in the file: LM_Channel_5200_RSTE_uu_prof.dat
% 
% Total number of data points  : 768
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent channel flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Direct numerical simulation of turbulent channel flow up to Re_tau = 5200, 
%    2015, Journal of Fluid Mechanics, vol. 774, pp. 395-415 
% 
% The paper can be found at http://journals.cambridge.org/article_S0022112015002682 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mk@ices.utexas.edu) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 10240 
%  Grid (wall-normal)      ny = 1536 
%  Grid (spanwise)         nz = 7680 
%  Streamwise domain size  Lx = 8pi 
%  Spanwise domain size    Lz = 3pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 8.00000e-06 
%  Channel half width   delta = 1.000 
%  Avg streamwise vel  U_mean = 1.000 
%  Friction vel         u_tau = 4.14872e-02 
%  Re_tau              Re_tau = 5185.897 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 6/15/2015.
% 
% 
% 
% Remark: (u_i=u, u_j=u)
% 
%    y/delta              : Grid point in wall-normal direction, Normalized by channel half width 
%    y^+                  : Grid point in wall-normal direction 
%    Production           :  -<u_i' u_k'> dU_j/dU_k + -<u_j' u_k'> dU_i/dx_k 
%    Turbulent Transport  : - d<u_i'u_j'u_k'>/dx_k 
%    Viscous Transport    : nu d^2 <u_i'u_k'> / dx_k dx_k 
%    Pressure Strain      : <p(du_i'/dx_j' + du_j'/dx_i')> 
%    Pressure Transport   : - ( d<pu_i'>/dx_j + d<pu_j'>/dx_i ) 
%    Viscous Dissipation  : 2 nu <du_i'/dx_k du_j'/dx_k> 
%    Balance : Production + Turb_Trans + Visc_Trans + Press_Strain + Press_Trans - Vis_Diss 
% 
% *  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% ** Analytic values of Pressure_Transport are zero everywhere. These are reported here only for completeness of data with other quantities. 
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                   Production          Turbulent_Transport        Viscous_Transport       Pressure_Strain         Pressure_Transport        Viscous_Dissipation           Balance        
%--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    3.830595008040517e-10    1.239683578401857e-03    1.397285525243046e-20    0.000000000000000e+00    1.239705466719648e-03    1.753192807073415e-03
    1.371071353273301e-05    7.110235019829264e-02    3.063852154615835e-09    1.278972766939726e-08    1.232929698751492e-03    2.242780553931085e-06    0.000000000000000e+00    1.235192236387991e-03    1.745227931570598e-03
    4.169953934984871e-05    2.162495221624994e-01    8.783198430939855e-08    3.641892016638069e-07    1.221446618002681e-03    5.980626362227606e-06    0.000000000000000e+00    1.227680537328146e-03    1.731810396840379e-03
    8.453381948780869e-05    4.383836933411095e-01    7.507961933689505e-07    3.102246616643821e-06    1.207382258648917e-03    9.699689083257340e-06    0.000000000000000e+00    1.219361791671270e-03    1.716018464086339e-03
    1.427808370142447e-04    7.404467353763260e-01    3.723003581714948e-06    1.524028494856569e-05    1.188419757453963e-03    1.144123730424980e-05    0.000000000000000e+00    1.211330509670577e-03    1.697068104855474e-03
    2.170078137750941e-04    1.125380202420942e+00    1.340204518469653e-05    5.361232260320863e-05    1.150923318933058e-03    9.593363182623735e-06    0.000000000000000e+00    1.201205848911361e-03    1.664531737783917e-03
    3.077819081407362e-04    1.596125319450033e+00    3.869487942190205e-05    1.474157928588064e-04    1.064153734962869e-03    5.836341081707871e-06    0.000000000000000e+00    1.180906210505865e-03    1.596942523136519e-03
    4.156702127537937e-04    2.155622970581291e+00    9.411149518138372e-05    2.767838137576822e-04    8.859519952860428e-04    1.415701327233129e-05    0.000000000000000e+00    1.137532800730984e-03    1.471243856333311e-03
    5.275290387434239e-04    2.735711337193032e+00    1.843679613247688e-04    4.959010111568009e-04    6.286275143216999e-04    2.925490287067262e-05    0.000000000000000e+00    1.070266882483691e-03    1.349595850199237e-03
    6.433579417870483e-04    3.336388115074059e+00    2.721809208772980e-04    7.511031717754841e-04    3.608509261812133e-04    4.923377547123027e-05    0.000000000000000e+00    9.858958319228326e-04    1.320176645497341e-03
    7.631564617923692e-04    3.957650918233040e+00    4.142838582195909e-04    1.003244680442818e-03    2.047666335675471e-04    7.800611206530336e-05    0.000000000000000e+00    8.968044700123865e-04    1.424922309880244e-03
    8.869241228990354e-04    4.599497278907139e+00    5.776702838880299e-04    1.215200553334244e-03    3.517752541671736e-04    1.022272484275126e-04    0.000000000000000e+00    8.153119054824036e-04    1.615346738226167e-03
    1.014660433480419e-03    5.261924647571224e+00    7.500991614283612e-04    1.361555345805443e-03    5.140259521137759e-04    1.261008563027097e-04    0.000000000000000e+00    7.494711430659131e-04    1.805079724378452e-03
    1.146364886145945e-03    5.944930392949966e+00    9.182094719325817e-04    1.433174755428099e-03    5.320786392349872e-04    1.490111168591142e-04    0.000000000000000e+00    7.017873136208536e-04    1.922216413097139e-03
    1.282036957742871e-03    6.648511802027046e+00    1.069917461105037e-03    1.436415280234022e-03    5.677436915180168e-04    1.704302225953017e-04    0.000000000000000e+00    6.703593819621475e-04    2.002192121621772e-03
    1.421676109358172e-03    7.372666080054942e+00    1.196134105019101e-03    1.387202388660997e-03    5.477414463004457e-04    1.899533873812049e-04    0.000000000000000e+00    6.508451787984367e-04    2.028489510062768e-03
    1.565281786321093e-03    8.117390350568176e+00    1.291537635387830e-03    1.303543399010100e-03    4.947116694788835e-04    2.073208882383443e-04    0.000000000000000e+00    6.382151015736126e-04    2.015523495080404e-03
    1.712853418205151e-03    8.882681655393672e+00    1.354483174667467e-03    1.201112963073365e-03    4.277533815312343e-04    2.224066977115148e-04    0.000000000000000e+00    6.281207909395296e-04    1.975922681465291e-03
    1.864390418830353e-03    9.668536954662272e+00    1.386332595394868e-03    1.092251210986292e-03    3.599236689742494e-04    2.351883749861678e-04    0.000000000000000e+00    6.177826019200710e-04    1.918709132569850e-03
    2.019892186265637e-03    1.047495312682141e+01    1.390524516197054e-03    9.859968206263091e-04    2.984603286425578e-04    2.457238073268214e-04    0.000000000000000e+00    6.059803436394917e-04    1.849978133537878e-03
    2.179358102831097e-03    1.130192696864662e+01    1.371644774053167e-03    8.881005099572131e-04    2.458700108312009e-04    2.541457989388857e-04    0.000000000000000e+00    5.923978833793732e-04    1.773727516714562e-03
    2.342787535100643e-03    1.214945519525534e+01    1.334660510287411e-03    8.010285065806499e-04    2.015818456442701e-04    2.606653204703296e-04    0.000000000000000e+00    5.772791639785290e-04    1.692571484170898e-03
    2.510179833904336e-03    1.301753444011904e+01    1.284380973911346e-03    7.247750692875992e-04    1.641077916870334e-04    2.655597405058437e-04    0.000000000000000e+00    5.609454896631440e-04    1.608429846977993e-03
    2.681534334331159e-03    1.390616125507758e+01    1.225120324624767e-03    6.579294959870558e-04    1.323117532382798e-04    2.691296581851163e-04    0.000000000000000e+00    5.435541884265851e-04    1.522885209139016e-03
    2.856850355731466e-03    1.481533211035189e+01    1.160509609793448e-03    5.984306055803296e-04    1.054459057054404e-04    2.716270876620657e-04    0.000000000000000e+00    5.251876526259992e-04    1.437227862369362e-03
    3.036127201719752e-03    1.574504339455838e+01    1.093438532555005e-03    5.445480698773554e-04    8.294001444665064e-05    2.731916405396832e-04    0.000000000000000e+00    5.058296891571744e-04    1.352596324767006e-03
    3.219364160177429e-03    1.669529141472329e+01    1.026101061164382e-03    4.951299601077459e-04    6.431395186960968e-05    2.738504442530819e-04    0.000000000000000e+00    4.856143501502310e-04    1.270034925666809e-03
    3.406560503255829e-03    1.766607239629828e+01    9.600787294946203e-04    4.493786389835061e-04    4.916464982002589e-05    2.735840449446095e-04    0.000000000000000e+00    4.646869200511255e-04    1.190332581302156e-03
    3.597715487378639e-03    1.865738248317309e+01    8.964342156125606e-04    4.070932463680448e-04    4.533833800202909e-05    2.724111811796385e-04    0.000000000000000e+00    4.432158080202457e-04    1.114460803780416e-03
    3.792828353245237e-03    1.966921773769277e+01    8.358338782680368e-04    3.680219243737306e-04    3.429075225501724e-05    2.704397526599359e-04    0.000000000000000e+00    4.216175752534580e-04    1.042177194219831e-03
    3.991898325833909e-03    2.070157414067443e+01    7.786822978918868e-04    3.314540901462906e-04    2.935994691515682e-05    2.678364218944753e-04    0.000000000000000e+00    4.005416340668118e-04    9.742894287232631e-04
    4.194924614404183e-03    2.175444759141932e+01    7.252136076336304e-04    2.978979711436849e-04    2.230412464079477e-05    2.647606996617752e-04    0.000000000000000e+00    3.800785176712775e-04    9.108970082095393e-04
    4.401906412500711e-03    2.282783390773295e+01    6.755239796366350e-04    2.687544509514269e-04    2.012653482799367e-05    2.613401353598187e-04    0.000000000000000e+00    3.598640078266591e-04    8.525065688036992e-04
    4.612842897956049e-03    2.392172882593950e+01    6.295800244685015e-04    2.441880331107668e-04    2.237093056085594e-05    2.576766428227708e-04    0.000000000000000e+00    3.399539141339238e-04    7.990401599730839e-04
    4.827733232894094e-03    2.503612800089970e+01    5.872464339571330e-04    2.226928581723655e-04    2.084818838016125e-05    2.538590618595773e-04    0.000000000000000e+00    3.206844318986701e-04    7.497786729332056e-04
    5.046576563733418e-03    2.617102700602804e+01    5.483276019884242e-04    2.025236458350822e-04    2.006602117933208e-05    2.499511276123217e-04    0.000000000000000e+00    3.022475194466679e-04    7.042093159260348e-04
    5.269372021190488e-03    2.732642133330954e+01    5.125898580120564e-04    1.831616908442235e-04    1.390334389179055e-05    2.459691208708739e-04    0.000000000000000e+00    2.845453090393612e-04    6.617829793968750e-04
    5.496118720283327e-03    2.850230639331869e+01    4.797753731515120e-04    1.655496327495668e-04    1.290222745591010e-05    2.418754610441503e-04    0.000000000000000e+00    2.676635446132959e-04    6.228202540298342e-04
    5.726815760335069e-03    2.969867751523788e+01    4.496332942740548e-04    1.513118304897680e-04    1.186112544690308e-05    2.375828625661424e-04    0.000000000000000e+00    2.519115722354603e-04    5.874615838282825e-04
    5.961462224977065e-03    3.091552994687357e+01    4.219459851302221e-04    1.738300498789231e-04    1.350030196803925e-05    2.329659949905905e-04    0.000000000000000e+00    2.372448878115565e-04    5.647971763175915e-04
    6.200057182153218e-03    3.215285885467869e+01    3.965233479606091e-04    1.654954800131340e-04    9.796087954812627e-06    2.279022583275767e-04    0.000000000000000e+00    2.234570580878556e-04    5.353391251178781e-04
    6.442599684123196e-03    3.341065932376937e+01    3.731903781473828e-04    1.569517200991785e-04    9.647140438296828e-06    2.223545004601349e-04    0.000000000000000e+00    2.105709996953246e-04    5.077200388896209e-04
    6.689088767466322e-03    3.468892635794506e+01    3.517868852468596e-04    1.476081594016897e-04    9.464967874017379e-06    2.163825739757008e-04    0.000000000000000e+00    1.985392895030275e-04    4.815298897962769e-04
    6.939523453085350e-03    3.598765487970814e+01    3.321660923147252e-04    1.374160664695461e-04    9.170793918383164e-06    2.100658541836536e-04    0.000000000000000e+00    1.873169098720421e-04    4.566364850585303e-04
    7.193902746210679e-03    3.730683973028578e+01    3.141884143971553e-04    1.256865804878939e-04    8.763586059104109e-06    2.034814890566558e-04    0.000000000000000e+00    1.769095601106528e-04    4.327701301430269e-04
    7.452225636403798e-03    3.864647566964779e+01    2.977187525902712e-04    1.405528644835718e-04    8.331016534986349e-06    1.967600026127476e-04    0.000000000000000e+00    1.672945357147317e-04    4.185247059650442e-04
    7.714491097561615e-03    4.000655737652908e+01    2.826256018431586e-04    1.299448831064739e-04    7.942006580704395e-06    1.900501995222560e-04    0.000000000000000e+00    1.584091734165656e-04    3.975405935150014e-04
    7.980698087920568e-03    4.138707944845095e+01    2.687819885766844e-04    1.175741110917739e-04    7.573131721949333e-06    1.700554512235054e-04    0.000000000000000e+00    1.502096666002160e-04    3.709536113010814e-04
    8.250845550060393e-03    4.278803640174068e+01    2.560717364328724e-04    1.053190205345091e-04    7.652425050603823e-06    1.644845194870059e-04    0.000000000000000e+00    1.426756893069813e-04    3.523278293937954e-04
    8.524932410908903e-03    4.420942267155626e+01    2.443951879498315e-04    9.510135414662703e-05    6.752649417984970e-06    1.704720422061399e-04    0.000000000000000e+00    1.357455752914367e-04    3.410373177716082e-04
    8.802957581745874e-03    4.565123261190661e+01    2.336687875164254e-04    8.631966188547698e-05    6.337775987686218e-06    1.641521602478192e-04    0.000000000000000e+00    1.292466575385461e-04    3.251814630184222e-04
    9.084919958207260e-03    4.711346049567336e+01    2.238195123081708e-04    7.771966899659671e-05    5.912817339961240e-06    1.581174164055016e-04    0.000000000000000e+00    1.230104373026507e-04    3.103275165109337e-04
    9.370818420289750e-03    4.859610051463453e+01    2.147757403302287e-04    7.039615043392121e-05    5.523187728586749e-06    1.525903899569914e-04    0.000000000000000e+00    1.169788307354599e-04    2.967871563603459e-04
    9.660651832355649e-03    5.009914677948984e+01    2.064613983180696e-04    6.585889358478325e-05    5.172307460646112e-06    1.476913057466456e-04    0.000000000000000e+00    1.111394803513518e-04    2.848774499851638e-04
    9.954419043136431e-03    5.162259331987914e+01    1.987987630509008e-04    6.336077995475362e-05    7.174553271138028e-06    1.433393606356938e-04    0.000000000000000e+00    1.074782523609084e-04    2.751086292352311e-04
    1.025211888573807e-02    5.316643408441002e+01    1.917165579740144e-04    6.152147976772081e-05    7.597021822327742e-06    1.392970003330635e-04    0.000000000000000e+00    1.025134108969772e-04    2.655381319703529e-04
    1.055375017764559e-02    5.473066294068145e+01    1.851523317312073e-04    5.195142846768215e-05    4.524365962902554e-06    1.353739554585055e-04    0.000000000000000e+00    9.803606287820532e-05    2.548293236537798e-04
    1.085931172072718e-02    5.631527367530505e+01    1.790526760015887e-04    5.247906355238497e-05    4.312543560233321e-06    1.314610808568990e-04    0.000000000000000e+00    9.401128792546584e-05    2.468859027245035e-04
    1.116880230124007e-02    5.792025999393565e+01    1.733708205246603e-04    5.198428924736103e-05    4.004947532648390e-06    1.274703710952110e-04    0.000000000000000e+00    9.027127717953244e-05    2.391096951891774e-04
    1.148222068983396e-02    5.954561552128909e+01    1.680677058174262e-04    4.994807782722718e-05    3.693814562087511e-06    1.234329947851962e-04    0.000000000000000e+00    8.666573989281008e-05    2.313046976526790e-04
    1.179956564155715e-02    6.119133380117393e+01    1.631115703291544e-04    4.625654690978475e-05    3.486565719246368e-06    1.194608864847318e-04    0.000000000000000e+00    8.315034094898014e-05    2.234772723285839e-04
    1.212083589586055e-02    6.285740829651211e+01    1.584696347057701e-04    3.344920685996169e-05    3.336478595521896e-06    1.155999833393381e-04    0.000000000000000e+00    7.986844386595253e-05    2.144409735250779e-04
    1.244603017660351e-02    6.454383238936957e+01    1.541057812739112e-04    3.225253330018783e-05    3.717923014133074e-06    1.193370834851048e-04    0.000000000000000e+00    7.687351026432433e-05    2.120224439840069e-04
    1.277514719205819e-02    6.625059938097858e+01    1.499831047129155e-04    3.114466768846368e-05    3.148419350479808e-06    1.155124534627898e-04    0.000000000000000e+00    7.409542594400484e-05    2.056893133343912e-04
    1.310818563491500e-02    6.797770249176607e+01    1.460671221436790e-04    3.032273932778036e-05    3.124752486371664e-06    1.116081554843524e-04    0.000000000000000e+00    7.154377530648151e-05    1.995989201511414e-04
    1.344514418228782e-02    6.972513486138061e+01    1.423330273988294e-04    2.969615049981308e-05    3.028662809125309e-06    1.077769563498739e-04    0.000000000000000e+00    6.924701474525376e-05    1.938059498895915e-04
    1.378602149571917e-02    7.149288954871948e+01    1.387667175994652e-04    2.888057188004922e-05    2.863483109336738e-06    1.042890770229213e-04    0.000000000000000e+00    6.680372766968309e-05    1.882483426164062e-04
    1.413081622118550e-02    7.328095953195577e+01    1.398255981302240e-04    2.774516395011643e-05    2.691910693126392e-06    1.012855053215988e-04    0.000000000000000e+00    6.436977416811666e-05    1.863611005896335e-04
    1.447952698910282e-02    7.508933770856771e+01    1.366207031963315e-04    2.647330883520947e-05    2.466269145624111e-06    9.865297558735124e-05    0.000000000000000e+00    6.201036356006677e-05    1.815208800307373e-04
    1.483215241433178e-02    7.691801689536518e+01    1.335445680498139e-04    2.535517978066097e-05    2.307234848279337e-06    9.621035585940535e-05    0.000000000000000e+00    5.978262822589091e-05    1.769541051859341e-04
    1.518869109618326e-02    7.876698982851846e+01    1.305759878266489e-04    2.454791478574634e-05    2.184975769957108e-06    9.387530888728633e-05    0.000000000000000e+00    5.776433018963476e-05    1.726463272047491e-04
    1.554914161842413e-02    8.063624916358819e+01    1.277020023075667e-04    2.398412279256136e-05    2.049568799253580e-06    9.168194331623802e-05    0.000000000000000e+00    5.586166700221888e-05    1.685625843485498e-04
    1.591350254928292e-02    8.252578747555475e+01    1.249075846549779e-04    2.365125808273507e-05    1.911521828481602e-06    8.967766804395325e-05    0.000000000000000e+00    5.402667931387525e-05    1.646994439954888e-04
    1.628177244145490e-02    8.443559725884471e+01    1.221746521359100e-04    2.367929824921761e-05    1.908974561157576e-06    8.300376991882514e-05    0.000000000000000e+00    5.233675053485311e-05    1.584921457084416e-04
    1.665394983210877e-02    8.636567092736541e+01    1.194950142400026e-04    2.403140005668755e-05    2.010018853500402e-06    8.129121826820149e-05    0.000000000000000e+00    5.084078664832057e-05    1.550924064783407e-04
    1.703003324289154e-02    8.831600081453026e+01    1.168730211710051e-04    2.441292631303758e-05    2.060361404374673e-06    7.945095715174930e-05    0.000000000000000e+00    4.943393392168060e-05    1.517092863117576e-04
    1.741002117993529e-02    9.028657917329389e+01    1.143199281460203e-04    2.471552010039767e-05    2.479811951738702e-06    7.751581364504083e-05    0.000000000000000e+00    4.802964243264846e-05    1.483293642193654e-04
    1.779391213386217e-02    9.227739817617802e+01    1.118486286409400e-04    2.494386797050944e-05    1.937898873402082e-06    7.559254549716293e-05    0.000000000000000e+00    4.663307739147887e-05    1.449998088687463e-04
    1.818170457979107e-02    9.428844991530607e+01    1.094709879831142e-04    2.474171815055325e-05    1.825124452674839e-06    7.383412510324193e-05    0.000000000000000e+00    4.533863212537520e-05    1.417972161188984e-04
    1.857339697734361e-02    9.631972640243420e+01    1.071965276119912e-04    4.630628568963560e-05    2.553264818174528e-06    7.229292868653821e-05    0.000000000000000e+00    4.420910616733569e-05    1.443003790496128e-04
